reason,,vessel,imo,operation_date,report_date,archive_time,grade,grade_raw,quantity,unit,port,operation_raw,operation,rank_operation,direction,lo_country_code,lo_city_code,,charterer,supplier,receiver,source_file,source_sheet,source_imo,min_dist,bargolink
ARRIVAL: most recent arrival later than 60 days,RIROIL 5,9175248,12/20/2016,6/17/2017,6/17/2017,GS018,Gasoline,3998,MT,Piraeus,arriveddate,Arrived,1,Discharge,GR,PIR,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9175248&vessel=&poi=&startdate=2016-12-15 00:00:00&enddate=2016-12-25 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0,
ARRIVAL: most recent arrival later than 60 days,RIROIL 5,9175248,12/20/2016,3/30/2017,3/30/2017,GS018,Gasoline,3998,MT,Piraeus,arriveddate,Arrived,1,Discharge,GR,PIR,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9175248&vessel=&poi=&startdate=2016-12-15 00:00:00&enddate=2016-12-25 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0,
ARRIVAL: most recent arrival later than 60 days,RIROIL 5,9175248,12/20/2016,7/26/2017,7/26/2017,GS018,Gasoline,3998,MT,Piraeus,arriveddate,Arrived,1,Discharge,GR,PIR,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9175248&vessel=&poi=&startdate=2016-12-15 00:00:00&enddate=2016-12-25 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0,
ARRIVAL: most recent arrival later than 60 days,STELLA VIRGO,9265249,1/20/2017,7/26/2017,7/26/2017,AA102,Bitumen 40/60,3850,MT,Ellesmere Port,arriveddate,Arrived,1,Discharge,GB,ELL,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9265249&vessel=&poi=&startdate=2017-01-15 00:00:00&enddate=2017-01-25 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0,
ARRIVAL: most recent arrival later than 60 days,STELLA VIRGO,9265249,1/20/2017,3/30/2017,3/30/2017,AA102,Bitumen 40/60,3850,MT,Ellesmere Port,arriveddate,Arrived,1,Discharge,GB,ELL,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9265249&vessel=&poi=&startdate=2017-01-15 00:00:00&enddate=2017-01-25 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0,
ARRIVAL: most recent arrival later than 60 days,STELLA VIRGO,9265249,1/20/2017,6/17/2017,6/17/2017,AA102,Bitumen 40/60,3850,MT,Ellesmere Port,arriveddate,Arrived,1,Discharge,GB,ELL,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9265249&vessel=&poi=&startdate=2017-01-15 00:00:00&enddate=2017-01-25 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0,
ARRIVAL: most recent arrival later than 60 days,ARDEA,9503902,3/29/2017,6/6/2017,6/6/2017,AA102,Bitumen 40/60,2552,MT,Teesport,arriveddate,Arrived,1,Discharge,GB,TEE,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9503902&vessel=&poi=&startdate=2017-03-24 00:00:00&enddate=2017-04-03 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0,
ARRIVAL: most recent arrival later than 60 days,ARDEA,9503902,3/29/2017,6/17/2017,6/17/2017,AA102,Bitumen 40/60,2552,MT,Teesport,arriveddate,Arrived,1,Discharge,GB,TEE,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9503902&vessel=&poi=&startdate=2017-03-24 00:00:00&enddate=2017-04-03 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0,
ARRIVAL: most recent arrival later than 60 days,ARDEA,9503902,3/29/2017,7/26/2017,7/26/2017,AA102,Bitumen 40/60,2552,MT,Teesport,arriveddate,Arrived,1,Discharge,GB,TEE,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9503902&vessel=&poi=&startdate=2017-03-24 00:00:00&enddate=2017-04-03 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0,
ARRIVAL: most recent arrival later than 60 days,NORDIC SUND,9375977,2/27/2017,3/30/2017,3/30/2017,GS009,Ethanol,2502,MT,Hull,arriveddate,Arrived,1,Discharge,GB,HUL,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9375977&vessel=&poi=&startdate=2017-02-22 00:00:00&enddate=2017-03-04 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0,
ARRIVAL: most recent arrival later than 60 days,NORDIC SUND,9375977,2/27/2017,7/26/2017,7/26/2017,GS009,Ethanol,2502,MT,Hull,arriveddate,Arrived,1,Discharge,GB,HUL,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9375977&vessel=&poi=&startdate=2017-02-22 00:00:00&enddate=2017-03-04 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0,
ARRIVAL: most recent arrival later than 60 days,NORDIC SUND,9375977,2/27/2017,6/17/2017,6/17/2017,GS009,Ethanol,2502,MT,Hull,arriveddate,Arrived,1,Discharge,GB,HUL,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9375977&vessel=&poi=&startdate=2017-02-22 00:00:00&enddate=2017-03-04 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0,
ARRIVAL: most recent arrival later than 60 days,ARDEA,9503902,2/7/2017,6/17/2017,6/17/2017,AA102,Bitumen 40/60,2453,MT,Teesport,arriveddate,Arrived,1,Discharge,GB,TEE,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9503902&vessel=&poi=&startdate=2017-02-02 00:00:00&enddate=2017-02-12 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0,
ARRIVAL: most recent arrival later than 60 days,ARDEA,9503902,2/7/2017,7/26/2017,7/26/2017,AA102,Bitumen 40/60,2453,MT,Teesport,arriveddate,Arrived,1,Discharge,GB,TEE,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9503902&vessel=&poi=&startdate=2017-02-02 00:00:00&enddate=2017-02-12 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0,
ARRIVAL: most recent arrival later than 60 days,ARDEA,9503902,2/7/2017,3/30/2017,3/30/2017,AA102,Bitumen 40/60,2453,MT,Teesport,arriveddate,Arrived,1,Discharge,GB,TEE,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9503902&vessel=&poi=&startdate=2017-02-02 00:00:00&enddate=2017-02-12 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0,
ARRIVAL: most recent arrival later than 60 days,STELLA VIRGO,9265249,2/22/2017,3/30/2017,3/30/2017,AA102,Bitumen 40/60,2420,MT,Ellesmere Port,arriveddate,Arrived,1,Discharge,GB,ELL,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9265249&vessel=&poi=&startdate=2017-02-17 00:00:00&enddate=2017-02-27 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0,
ARRIVAL: most recent arrival later than 60 days,STELLA VIRGO,9265249,2/22/2017,6/17/2017,6/17/2017,AA102,Bitumen 40/60,2420,MT,Ellesmere Port,arriveddate,Arrived,1,Discharge,GB,ELL,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9265249&vessel=&poi=&startdate=2017-02-17 00:00:00&enddate=2017-02-27 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0,
ARRIVAL: most recent arrival later than 60 days,STELLA VIRGO,9265249,2/22/2017,7/26/2017,7/26/2017,AA102,Bitumen 40/60,2420,MT,Ellesmere Port,arriveddate,Arrived,1,Discharge,GB,ELL,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9265249&vessel=&poi=&startdate=2017-02-17 00:00:00&enddate=2017-02-27 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0,
ARRIVAL: most recent arrival later than 60 days,BITLAND,9133599,4/29/2017,6/17/2017,6/17/2017,AA102,Bitumen 160/220,1900,MT,Teesport,arriveddate,Arrived,1,Discharge,GB,TEE,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9133599&vessel=&poi=&startdate=2017-04-24 00:00:00&enddate=2017-05-04 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0,
ARRIVAL: most recent arrival later than 60 days,BITLAND,9133599,4/29/2017,7/26/2017,7/26/2017,AA102,Bitumen 160/220,1900,MT,Teesport,arriveddate,Arrived,1,Discharge,GB,TEE,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9133599&vessel=&poi=&startdate=2017-04-24 00:00:00&enddate=2017-05-04 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0,
ARRIVAL: most recent arrival later than 60 days,BITLAND,9133599,4/29/2017,6/6/2017,6/6/2017,AA102,Bitumen 160/220,1900,MT,Teesport,arriveddate,Arrived,1,Discharge,GB,TEE,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9133599&vessel=&poi=&startdate=2017-04-24 00:00:00&enddate=2017-05-04 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0,
ARRIVAL: most recent arrival later than 60 days,STELLA WEGA,9136113,4/19/2017,7/26/2017,7/26/2017,AA102,Bitumen 40/60,1606,MT,Ellesmere Port,arriveddate,Arrived,1,Load,GB,ELL,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9136113&vessel=&poi=&startdate=2017-04-14 00:00:00&enddate=2017-04-24 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0,
ARRIVAL: most recent arrival later than 60 days,STELLA WEGA,9136113,4/19/2017,6/6/2017,6/6/2017,AA102,Bitumen 40/60,1606,MT,Ellesmere Port,arriveddate,Arrived,1,Load,GB,ELL,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9136113&vessel=&poi=&startdate=2017-04-14 00:00:00&enddate=2017-04-24 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0,
ARRIVAL: most recent arrival later than 60 days,STELLA WEGA,9136113,4/19/2017,6/17/2017,6/17/2017,AA102,Bitumen 40/60,1606,MT,Ellesmere Port,arriveddate,Arrived,1,Load,GB,ELL,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9136113&vessel=&poi=&startdate=2017-04-14 00:00:00&enddate=2017-04-24 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0,
ARRIVAL: most recent arrival later than 60 days,AMONITH,9164093,12/29/2016,7/26/2017,7/26/2017,AA101,GasCondensate,1600,MT,Antwerp,arriveddate,Arrived,1,Discharge,BE,ANR,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9164093&vessel=&poi=&startdate=2016-12-24 00:00:00&enddate=2017-01-03 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0,
ARRIVAL: most recent arrival later than 60 days,AMONITH,9164093,12/29/2016,6/17/2017,6/17/2017,AA101,GasCondensate,1600,MT,Antwerp,arriveddate,Arrived,1,Discharge,BE,ANR,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9164093&vessel=&poi=&startdate=2016-12-24 00:00:00&enddate=2017-01-03 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0,
ARRIVAL: most recent arrival later than 60 days,AMONITH,9164093,12/29/2016,3/30/2017,3/30/2017,AA101,GasCondensate,1600,MT,Antwerp,arriveddate,Arrived,1,Discharge,BE,ANR,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9164093&vessel=&poi=&startdate=2016-12-24 00:00:00&enddate=2017-01-03 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0,
ARRIVAL: most recent arrival later than 60 days,AMONITH,9164093,12/28/2016,6/17/2017,6/17/2017,AA101,GasCondensate,1325,MT,Antwerp,arriveddate,Arrived,1,Discharge,BE,ANR,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9164093&vessel=&poi=&startdate=2016-12-23 00:00:00&enddate=2017-01-02 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0,
ARRIVAL: most recent arrival later than 60 days,AMONITH,9164093,12/28/2016,3/30/2017,3/30/2017,AA101,GasCondensate,1325,MT,Antwerp,arriveddate,Arrived,1,Discharge,BE,ANR,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9164093&vessel=&poi=&startdate=2016-12-23 00:00:00&enddate=2017-01-02 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0,
ARRIVAL: most recent arrival later than 60 days,AMONITH,9164093,12/28/2016,7/26/2017,7/26/2017,AA101,GasCondensate,1325,MT,Antwerp,arriveddate,Arrived,1,Discharge,BE,ANR,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9164093&vessel=&poi=&startdate=2016-12-23 00:00:00&enddate=2017-01-02 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0,
ARRIVAL: most recent arrival later than 60 days,ELSA ESSBERGER,9481001,1/24/2017,6/17/2017,6/17/2017,CO053,CAS 29/75,953,MT,Antwerp,arriveddate,Arrived,1,Discharge,BE,ANR,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9481001&vessel=&poi=&startdate=2017-01-19 00:00:00&enddate=2017-01-29 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0,
ARRIVAL: most recent arrival later than 60 days,ELSA ESSBERGER,9481001,1/24/2017,7/26/2017,7/26/2017,CO053,CAS 29/75,953,MT,Antwerp,arriveddate,Arrived,1,Discharge,BE,ANR,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9481001&vessel=&poi=&startdate=2017-01-19 00:00:00&enddate=2017-01-29 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0,
ARRIVAL: most recent arrival later than 60 days,ELSA ESSBERGER,9481001,1/24/2017,3/30/2017,3/30/2017,CO053,CAS 29/75,953,MT,Antwerp,arriveddate,Arrived,1,Discharge,BE,ANR,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9481001&vessel=&poi=&startdate=2017-01-19 00:00:00&enddate=2017-01-29 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0,
ARRIVAL: most recent arrival later than 60 days,ELSA ESSBERGER,9481001,1/22/2017,3/30/2017,3/30/2017,CO053,CAS 29/75,953,MT,Harwich,arriveddate,Arrived,1,Load,GB,HRW,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9481001&vessel=&poi=&startdate=2017-01-17 00:00:00&enddate=2017-01-27 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0,
ARRIVAL: most recent arrival later than 60 days,ELSA ESSBERGER,9481001,1/22/2017,7/26/2017,7/26/2017,CO053,CAS 29/75,953,MT,Harwich,arriveddate,Arrived,1,Load,GB,HRW,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9481001&vessel=&poi=&startdate=2017-01-17 00:00:00&enddate=2017-01-27 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0,
ARRIVAL: most recent arrival later than 60 days,ELSA ESSBERGER,9481001,1/22/2017,6/17/2017,6/17/2017,CO053,CAS 29/75,953,MT,Harwich,arriveddate,Arrived,1,Load,GB,HRW,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9481001&vessel=&poi=&startdate=2017-01-17 00:00:00&enddate=2017-01-27 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0,
ARRIVAL: most recent arrival later than 60 days,RIVER PRIDE,9323986,2/25/2017,6/17/2017,6/17/2017,GS010,MTBE,950,MT,Rotterdam,arriveddate,Arrived,1,Discharge,NL,RTM,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9323986&vessel=&poi=&startdate=2017-02-20 00:00:00&enddate=2017-03-02 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0,
ARRIVAL: most recent arrival later than 60 days,RIVER PRIDE,9323986,2/25/2017,3/30/2017,3/30/2017,GS010,MTBE,950,MT,Rotterdam,arriveddate,Arrived,1,Discharge,NL,RTM,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9323986&vessel=&poi=&startdate=2017-02-20 00:00:00&enddate=2017-03-02 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0,
ARRIVAL: most recent arrival later than 60 days,RIVER PRIDE,9323986,2/25/2017,7/26/2017,7/26/2017,GS010,MTBE,950,MT,Rotterdam,arriveddate,Arrived,1,Discharge,NL,RTM,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9323986&vessel=&poi=&startdate=2017-02-20 00:00:00&enddate=2017-03-02 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0,
ARRIVAL: most recent arrival later than 60 days,ARDEA,9190327,1/10/2017,6/17/2017,6/17/2017,CO053,CAS 29/75,941,MT,Harwich,arriveddate,Arrived,1,Load,GB,HRW,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9190327&vessel=&poi=&startdate=2017-01-05 00:00:00&enddate=2017-01-15 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0,
ARRIVAL: most recent arrival later than 60 days,ARDEA,9190327,1/10/2017,7/26/2017,7/26/2017,CO053,CAS 29/75,941,MT,Harwich,arriveddate,Arrived,1,Load,GB,HRW,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9190327&vessel=&poi=&startdate=2017-01-05 00:00:00&enddate=2017-01-15 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0,
ARRIVAL: most recent arrival later than 60 days,ARDEA,9190327,1/10/2017,3/30/2017,3/30/2017,CO053,CAS 29/75,941,MT,Harwich,arriveddate,Arrived,1,Load,GB,HRW,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9190327&vessel=&poi=&startdate=2017-01-05 00:00:00&enddate=2017-01-15 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0,
ARRIVAL: no arrival match,NEVERLAND,9247390,7/20/2017,8/1/2017,8/1/2017,IZ100,Basrah,600000,BBLS,Ceyhan,arriveddate,Arrived,1,Load,TR,CEY,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9247390&vessel=&poi=&startdate=2017-07-15 00:00:00&enddate=2017-07-25 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0,
ARRIVAL: no arrival match,OLYMPIC FUTURE,9271353,4/4/2017,6/6/2017,6/6/2017,AA100,Crude Oil,148901,MT,Thessaloniki,arriveddate,Arrived,1,Load,GR,SKG,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9271353&vessel=&poi=&startdate=2017-03-30 00:00:00&enddate=2017-04-09 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0,
ARRIVAL: no arrival match,OLYMPIC FUTURE,9271353,4/4/2017,7/26/2017,7/26/2017,AA100,Crude Oil,148901,MT,Thessaloniki,arriveddate,Arrived,1,Load,GR,SKG,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9271353&vessel=&poi=&startdate=2017-03-30 00:00:00&enddate=2017-04-09 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0,
ARRIVAL: no arrival match,OLYMPIC FUTURE,9271353,4/4/2017,6/17/2017,6/17/2017,AA100,Crude Oil,148901,MT,Thessaloniki,arriveddate,Arrived,1,Load,GR,SKG,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9271353&vessel=&poi=&startdate=2017-03-30 00:00:00&enddate=2017-04-09 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0,
ARRIVAL: no arrival match,CAPE BALDER,9187239,3/16/2017,6/6/2017,6/6/2017,AA100,Crude Oil,148533,MT,Aliaga,arriveddate,Arrived,1,Load,TR,ALI,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9187239&vessel=&poi=&startdate=2017-03-11 00:00:00&enddate=2017-03-21 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0,
ARRIVAL: no arrival match,CAPE BALDER,9187239,3/16/2017,7/26/2017,7/26/2017,AA100,Crude Oil,148533,MT,Aliaga,arriveddate,Arrived,1,Load,TR,ALI,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9187239&vessel=&poi=&startdate=2017-03-11 00:00:00&enddate=2017-03-21 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0,
ARRIVAL: no arrival match,CAPE BALDER,9187239,3/16/2017,6/17/2017,6/17/2017,AA100,Crude Oil,148533,MT,Aliaga,arriveddate,Arrived,1,Load,TR,ALI,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9187239&vessel=&poi=&startdate=2017-03-11 00:00:00&enddate=2017-03-21 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0,
ARRIVAL: no arrival match,EPISKOPI,9205067,5/1/2017,7/26/2017,7/26/2017,AA100,Crude Oil,148430,MT,Agioi Theodoroi,arriveddate,Arrived,1,Load,GR,AGT,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9205067&vessel=&poi=&startdate=2017-04-26 00:00:00&enddate=2017-05-06 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0,
ARRIVAL: no arrival match,EPISKOPI,9205067,5/1/2017,6/17/2017,6/17/2017,AA100,Crude Oil,148430,MT,Agioi Theodoroi,arriveddate,Arrived,1,Load,GR,AGT,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9205067&vessel=&poi=&startdate=2017-04-26 00:00:00&enddate=2017-05-06 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0,
ARRIVAL: no arrival match,NORDIC HARRIER,9131137,1/23/2017,7/26/2017,7/26/2017,AA100,Crude Oil,137636,MT,Aliaga,arriveddate,Arrived,1,Load,TR,ALI,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9131137&vessel=&poi=&startdate=2017-01-18 00:00:00&enddate=2017-01-28 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0,
ARRIVAL: no arrival match,NORDIC HARRIER,9131137,1/23/2017,3/30/2017,3/30/2017,AA100,Crude Oil,137636,MT,Aliaga,arriveddate,Arrived,1,Load,TR,ALI,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9131137&vessel=&poi=&startdate=2017-01-18 00:00:00&enddate=2017-01-28 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0,
ARRIVAL: no arrival match,NORDIC HARRIER,9131137,1/23/2017,6/17/2017,6/17/2017,AA100,Crude Oil,137636,MT,Aliaga,arriveddate,Arrived,1,Load,TR,ALI,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9131137&vessel=&poi=&startdate=2017-01-18 00:00:00&enddate=2017-01-28 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0,
ARRIVAL: no arrival match,RIDGEBURY SALLY B,9257010,1/27/2017,7/26/2017,7/26/2017,AA100,Crude Oil,102368,MT,Rotterdam,arriveddate,Arrived,1,Load,NL,RTM,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9257010&vessel=&poi=&startdate=2017-01-22 00:00:00&enddate=2017-02-01 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0,
ARRIVAL: no arrival match,RIDGEBURY SALLY B,9257010,1/27/2017,3/30/2017,3/30/2017,AA100,Crude Oil,102368,MT,Rotterdam,arriveddate,Arrived,1,Load,NL,RTM,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9257010&vessel=&poi=&startdate=2017-01-22 00:00:00&enddate=2017-02-01 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0,
ARRIVAL: no arrival match,RIDGEBURY SALLY B,9257010,1/27/2017,6/17/2017,6/17/2017,AA100,Crude Oil,102368,MT,Rotterdam,arriveddate,Arrived,1,Load,NL,RTM,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9257010&vessel=&poi=&startdate=2017-01-22 00:00:00&enddate=2017-02-01 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0,
ARRIVAL: no arrival match,CAPE BALDER,9187239,3/12/2017,7/26/2017,7/26/2017,AA100,Crude Oil,90615,MT,Aliaga,arriveddate,Arrived,1,Load,TR,ALI,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9187239&vessel=&poi=&startdate=2017-03-07 00:00:00&enddate=2017-03-17 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0,
ARRIVAL: no arrival match,CAPE BALDER,9187239,3/12/2017,7/26/2017,7/26/2017,AA100,Crude Oils,90615,MT,Aliaga,arriveddate,Arrived,1,Load,TR,ALI,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9187239&vessel=&poi=&startdate=2017-03-07 00:00:00&enddate=2017-03-17 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0,
ARRIVAL: no arrival match,CAPE BALDER,9187239,3/12/2017,6/17/2017,6/17/2017,AA100,Crude Oils,90615,MT,Aliaga,arriveddate,Arrived,1,Load,TR,ALI,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9187239&vessel=&poi=&startdate=2017-03-07 00:00:00&enddate=2017-03-17 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0,
ARRIVAL: no arrival match,CAPE BALDER,9187239,3/12/2017,6/17/2017,6/17/2017,AA100,Crude Oil,90615,MT,Aliaga,arriveddate,Arrived,1,Load,TR,ALI,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9187239&vessel=&poi=&startdate=2017-03-07 00:00:00&enddate=2017-03-17 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0,
ARRIVAL: no arrival match,CAPE BALDER,9187239,3/12/2017,6/6/2017,6/6/2017,AA100,Crude Oil,90615,MT,Aliaga,arriveddate,Arrived,1,Load,TR,ALI,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9187239&vessel=&poi=&startdate=2017-03-07 00:00:00&enddate=2017-03-17 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0,
