reason,,vessel,imo,operation_date,report_date,archive_time,grade,grade_raw,quantity,unit,port,operation_raw,operation,rank_operation,direction,lo_country_code,lo_city_code,,charterer,supplier,receiver,source_file,source_sheet,source_imo,min_dist,bargolink
ARRIVAL: most recent arrival between 10 and 60 days,but with other arrivals in between,HAFNIA EUROPE,9336490,2/1/2017,3/30/2017,3/30/2017,GS018,Unleaded,62692,MT,Amsterdam,bldate,Bill date,14,Load,NL,AMS,Loading records found at two POIs of 105071 and 4929.According to 'one month early bill' heuristic we believe it should be '2017-03-01 03:01:01 depart from 105071' ,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9336490&vessel=&poi=&startdate=2017-01-27 00:00:00&enddate=2017-02-06 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0
ARRIVAL: most recent arrival between 10 and 60 days,but with other arrivals in between,HAFNIA EUROPE,9336490,2/1/2017,7/26/2017,7/26/2017,GS018,Unleaded,62692,MT,Amsterdam,bldate,Bill date,14,Load,NL,AMS,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9336490&vessel=&poi=&startdate=2017-01-27 00:00:00&enddate=2017-02-06 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0
ARRIVAL: most recent arrival between 10 and 60 days,but with other arrivals in between,HAFNIA EUROPE,9336490,2/1/2017,6/17/2017,6/17/2017,GS018,Unleaded,62692,MT,Amsterdam,bldate,Bill date,14,Load,NL,AMS,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9336490&vessel=&poi=&startdate=2017-01-27 00:00:00&enddate=2017-02-06 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0
ARRIVAL: most recent arrival between 10 and 60 days,but with other arrivals in between,PTI HERCULES,9358307,3/19/2017,7/26/2017,7/26/2017,GS017,Regular Unleaded,37352,MT,Amsterdam,bldate,Bill date,14,Load,NL,AMS,4/19/2017  3:59:31 AM depart from 105071. May billed one month early.,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9358307&vessel=&poi=&startdate=2017-03-14 00:00:00&enddate=2017-03-24 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0
ARRIVAL: most recent arrival between 10 and 60 days,but with other arrivals in between,PTI HERCULES,9358307,3/19/2017,6/6/2017,6/6/2017,GS017,Regular Unleaded,37352,MT,Amsterdam,bldate,Bill date,14,Load,NL,AMS,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9358307&vessel=&poi=&startdate=2017-03-14 00:00:00&enddate=2017-03-24 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0
ARRIVAL: most recent arrival between 10 and 60 days,but with other arrivals in between,PTI HERCULES,9358307,3/19/2017,6/17/2017,6/17/2017,GS017,Regular Unleaded,37352,MT,Amsterdam,bldate,Bill date,14,Load,NL,AMS,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9358307&vessel=&poi=&startdate=2017-03-14 00:00:00&enddate=2017-03-24 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0
ARRIVAL: most recent arrival between 10 and 60 days,but with other arrivals in between,STI COMANDANTE,9686857,3/3/2017,7/26/2017,7/26/2017,GS018,Gasoline,16317,MT,Milford Haven,saileddate,Sailed,10,Discharge,GB,MLF,POI 103041 may be able to unload G,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9686857&vessel=&poi=&startdate=2017-02-26 00:00:00&enddate=2017-03-08 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0
ARRIVAL: most recent arrival between 10 and 60 days,but with other arrivals in between,STI COMANDANTE,9686857,3/3/2017,3/30/2017,3/30/2017,GS018,Gasoline,16317,MT,Milford Haven,saileddate,Sailed,10,Discharge,GB,MLF,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9686857&vessel=&poi=&startdate=2017-02-26 00:00:00&enddate=2017-03-08 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0
ARRIVAL: most recent arrival between 10 and 60 days,but with other arrivals in between,STI COMANDANTE,9686857,3/3/2017,6/17/2017,6/17/2017,GS018,Gasoline,16317,MT,Milford Haven,saileddate,Sailed,10,Discharge,GB,MLF,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9686857&vessel=&poi=&startdate=2017-02-26 00:00:00&enddate=2017-03-08 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0
ARRIVAL: most recent arrival between 10 and 60 days,but with other arrivals in between,ADFINES SKY,9580986,1/17/2017,3/30/2017,3/30/2017,GS002,Alkylate,14976,MT,Amsterdam,bldate,Bill date,14,Load,NL,AMS,2017-02-12 16:00:21 depart 105072.,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9580986&vessel=&poi=&startdate=2017-01-12 00:00:00&enddate=2017-01-22 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0
