reason,vessel,imo,operation_date,report_date,archive_time,grade,grade_raw,quantity,unit,port,operation_raw,operation,rank_operation,direction,lo_country_code,lo_city_code,charterer,supplier,receiver,source_file,source_sheet,source_imo,min_dist,bargo,Notes
ARRIVAL: no arrival match,NORDIC NELLY,9130808,2017-01-25,2017-08-08,2017-08-08,BF005,FATTY ACID METHYL ESTER (FAME),5316,MT,Antwerp,arriveddate,Arrived,1,Load,BE,ANR ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9130808&startdate=2017-01-14&enddate=2017-02-05,
ARRIVAL: no arrival match,CPO KOREA,9433901,2017-12-30,2017-08-08,2017-08-08,GS028,REGULAR GASOLINE BLENDSTOCK,5176,MT,Antwerp,bldate,Bill date,14,Discharge,BE,ANR ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9433901&startdate=2017-12-19&enddate=2018-01-10,
ARRIVAL: no arrival match,ALFA BRITANNIA,9154232,2017-05-02,2017-08-08,2017-08-08,GS011,Naphtha,5000,MT,Rotterdam,arriveddate,Arrived,1,Discharge,NL,RTM ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9154232&startdate=2017-04-21&enddate=2017-05-13,
ARRIVAL: no arrival match,COMMANDER,9280354,2017-02-23,2017-08-08,2017-08-08,GS014,Reformate,5000,MT,Antwerp,arriveddate,Arrived,1,Load,BE,ANR ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9280354&startdate=2017-02-12&enddate=2017-03-06,
ARRIVAL: no arrival match,YM MERCURY,9452775,2017-04-13,2017-08-08,2017-08-08,BF002,Biodiesel,4521,MT,Ellesmere Port,arriveddate,Arrived,1,Load,GB,ELL ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9452775&startdate=2017-04-02&enddate=2017-04-24,
ARRIVAL: no arrival match,JS CHUKAR,9578000,2017-05-30,2017-08-08,2017-08-08,BF005,FATTY ACID METHYL ESTER (FAME),4500,MT,Antwerp,arriveddate,Arrived,1,Discharge,BE,ANR ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9578000&startdate=2017-05-19&enddate=2017-06-10,
ARRIVAL: no arrival match,BOMAR HAUMEA,9441958,2017-02-20,2017-08-08,2017-08-08,BF005,FATTY ACID METHYL ESTER (FAME),4288,MT,Antwerp,arriveddate,Arrived,1,Load,BE,ANR ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9441958&startdate=2017-02-09&enddate=2017-03-03,
ARRIVAL: no arrival match,NORDIC HENRIETTE,9403906,2017-06-27,2017-08-08,2017-08-08,BF005,FATTY ACID METHYL ESTER (FAME),4264,MT,Antwerp,arriveddate,Arrived,1,Load,BE,ANR ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9403906&startdate=2017-06-16&enddate=2017-07-08,
ARRIVAL: no arrival match,SENSATION,13955,2017-01-20,2017-08-08,2017-08-08,GS008,Toluene / Xylene (TX) Cut,4213,MT,Antwerp,arriveddate,Arrived,1,Discharge,BE,ANR ,,,,gs101,,manual modification,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=13955&startdate=2017-01-09&enddate=2017-01-31,
ARRIVAL: no arrival match,SENSATION,13955,2017-03-09,2017-08-08,2017-08-08,GS010,MTBE,4197,MT,Rotterdam,arriveddate,Arrived,1,Discharge,NL,RTM ,,,,gs101,,manual modification,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=13955&startdate=2017-02-26&enddate=2017-03-20,
ARRIVAL: no arrival match,SENSATION,13955,2017-03-08,2017-08-08,2017-08-08,GS010,MTBE,4197,MT,Antwerp,arriveddate,Arrived,1,Load,BE,ANR ,,,,gs101,,manual modification,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=13955&startdate=2017-02-25&enddate=2017-03-19,
ARRIVAL: no arrival match,SENSATION,13955,2017-04-11,2017-08-08,2017-08-08,GS008,Toluene / Xylene (TX) Cut,4195,MT,Antwerp,arriveddate,Arrived,1,Load,BE,ANR ,,,,gs101,,manual modification,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=13955&startdate=2017-03-31&enddate=2017-04-22,
ARRIVAL: no arrival match,VANCOUVER,9373955,2017-04-20,2017-08-08,2017-08-08,GS051,Splitter Bottoms,4122,MT,Rotterdam,arriveddate,Arrived,1,Discharge,NL,RTM ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9373955&startdate=2017-04-09&enddate=2017-05-01,
ARRIVAL: no arrival match,SENSATION,13955,2017-03-04,2017-08-08,2017-08-08,GS008,Toluene / Xylene (TX) Cut,4003,MT,Antwerp,arriveddate,Arrived,1,Load,BE,ANR ,,,,gs101,,manual modification,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=13955&startdate=2017-02-21&enddate=2017-03-15,
ARRIVAL: no arrival match,SENSATION,13955,2017-05-24,2017-08-08,2017-08-08,GS008,Toluene / Xylene (TX) Cut,4000,MT,Antwerp,arriveddate,Arrived,1,Load,BE,ANR ,,,,gs101,,manual modification,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=13955&startdate=2017-05-13&enddate=2017-06-04,
ARRIVAL: no arrival match,RC BEHAR,9413664,2017-06-04,2017-08-08,2017-08-08,BF005,FATTY ACID METHYL ESTER (FAME),4000,MT,Rotterdam,bertheddate,Berthed,2,Discharge,NL,RTM ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9413664&startdate=2017-05-24&enddate=2017-06-15,
ARRIVAL: no arrival match,BEAUFORT,9610339,2017-05-17,2017-08-08,2017-08-08,GS011,Blend TN100,4000,MT,Terneuzen,arriveddate,Arrived,1,Load,NL,TNZ ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9610339&startdate=2017-05-06&enddate=2017-05-28,
ARRIVAL: no arrival match,SENSATION,13955,2017-06-05,2017-08-08,2017-08-08,GS008,Toluene / Xylene (TX) Cut,3995,MT,Antwerp,arriveddate,Arrived,1,Load,BE,ANR ,,,,gs101,,manual modification,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=13955&startdate=2017-05-25&enddate=2017-06-16,
ARRIVAL: no arrival match,ATLANTIC PIONEER,9397145,2017-04-21,2017-08-08,2017-08-08,GS051,Splitter Bottoms,3974,MT,Rotterdam,arriveddate,Arrived,1,Discharge,NL,RTM ,,,,gs101,,manual modification,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9397145&startdate=2017-04-10&enddate=2017-05-02,
ARRIVAL: no arrival match,SENSATION,13955,2017-01-30,2017-08-08,2017-08-08,GS061,Toluene/Xylene Mix,3796,MT,Antwerp,arriveddate,Arrived,1,Load,BE,ANR ,,,,gs101,,manual modification,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=13955&startdate=2017-01-19&enddate=2017-02-10,
ARRIVAL: no arrival match,VANCOUVER,9373955,2017-03-02,2017-08-08,2017-08-08,GS051,Splitter Bottoms,3730,MT,Rotterdam,arriveddate,Arrived,1,Discharge,NL,RTM ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9373955&startdate=2017-02-19&enddate=2017-03-13,
ARRIVAL: no arrival match,VANCOUVER,9373955,2017-05-06,2017-08-08,2017-08-08,MD017,"GasOil / Diesel / 2 Oils, High Sulphur",3698,MT,Antwerp,arriveddate,Arrived,1,Load,BE,ANR ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9373955&startdate=2017-04-25&enddate=2017-05-17,
ARRIVAL: no arrival match,VANCOUVER,9373955,2017-02-10,2017-08-08,2017-08-08,GS051,Splitter Bottoms,3692,MT,Rotterdam,arriveddate,Arrived,1,Discharge,NL,RTM ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9373955&startdate=2017-01-30&enddate=2017-02-21,
ARRIVAL: no arrival match,VANCOUVER,9373955,2017-02-06,2017-08-08,2017-08-08,GS051,Splitter Bottoms,3662,MT,Rotterdam,arriveddate,Arrived,1,Discharge,NL,RTM ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9373955&startdate=2017-01-26&enddate=2017-02-17,
ARRIVAL: no arrival match,VANCOUVER,9373955,2017-04-22,2017-08-08,2017-08-08,GS051,Splitter Bottoms,3658,MT,Rotterdam,arriveddate,Arrived,1,Discharge,NL,RTM ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9373955&startdate=2017-04-11&enddate=2017-05-03,
ARRIVAL: no arrival match,VANCOUVER,9373955,2017-01-17,2017-08-08,2017-08-08,GS051,Splitter Bottoms,3657,MT,Rotterdam,arriveddate,Arrived,1,Discharge,NL,RTM ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9373955&startdate=2017-01-06&enddate=2017-01-28,
ARRIVAL: no arrival match,HUSEYN JAVID,9383613,2016-12-18,2017-08-08,2017-08-08,BF005,B100 - FATTY ACID METHYL ESTER (FAME),3456,MT,Rotterdam,arriveddate,Arrived,1,Load,NL,RTM ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9383613&startdate=2016-12-07&enddate=2016-12-29,
ARRIVAL: no arrival match,DONIZETTI,9174098,2017-01-27,2017-08-08,2017-08-08,BF005,FATTY ACID METHYL ESTER (FAME),3259,MT,Antwerp,arriveddate,Arrived,1,Load,BE,ANR ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9174098&startdate=2017-01-16&enddate=2017-02-07,
ARRIVAL: no arrival match,ATHLOS,9700483,2017-07-12,2017-08-08,2017-08-08,GS019,Unleaded Gasoline 95 RON,3202,MT,Aspropyrgos,arriveddate,Arrived,1,Load,GR,ASS ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9700483&startdate=2017-07-01&enddate=2017-07-23,
ARRIVAL: no arrival match,VANCOUVER,9373955,2017-03-14,2017-08-08,2017-08-08,GS051,Splitter Bottoms,3100,MT,Rotterdam,arriveddate,Arrived,1,Load,NL,RTM ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9373955&startdate=2017-03-03&enddate=2017-03-25,
ARRIVAL: no arrival match,PUCCINI,9156993,2017-06-22,2017-08-08,2017-08-08,BF005,FATTY ACID METHYL ESTER (FAME),3052,MT,Antwerp,arriveddate,Arrived,1,Load,BE,ANR ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9156993&startdate=2017-06-11&enddate=2017-07-03,
ARRIVAL: no arrival match,COASTALWATER,9205158,2017-07-19,2017-08-08,2017-08-08,BF005,FATTY ACID METHYL ESTER (FAME),3039,MT,Antwerp,arriveddate,Arrived,1,Load,BE,ANR ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9205158&startdate=2017-07-08&enddate=2017-07-30,
ARRIVAL: no arrival match,COMPAAN,9479022,2017-02-12,2017-08-08,2017-08-08,GS014,Reformate,3034,MT,Amsterdam,arriveddate,Arrived,1,Load,NL,AMS ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9479022&startdate=2017-02-01&enddate=2017-02-23,
ARRIVAL: no arrival match,ALAND,9487380,2017-03-17,2017-08-08,2017-08-08,BF002,Biodiesel,3002,MT,Southampton,arriveddate,Arrived,1,Discharge,GB,SOU ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9487380&startdate=2017-03-06&enddate=2017-03-28,
ARRIVAL: no arrival match,VANCOUVER,9373955,2017-01-21,2017-08-08,2017-08-08,GS051,Splitter Bottoms,3002,MT,Rotterdam,arriveddate,Arrived,1,Discharge,NL,RTM ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9373955&startdate=2017-01-10&enddate=2017-02-01,
ARRIVAL: no arrival match,VANCOUVER,9373955,2017-07-11,2017-08-08,2017-08-08,GS013,Pygas,2993,MT,Antwerp,arriveddate,Arrived,1,Load,BE,ANR ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9373955&startdate=2017-06-30&enddate=2017-07-22,
ARRIVAL: no arrival match,ELSE MARIE THERESA,9237864,2017-07-14,2017-08-08,2017-08-08,BF002,Biodiesel,2952,MT,Ghent,arriveddate,Arrived,1,Load,BE,GNE ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9237864&startdate=2017-07-03&enddate=2017-07-25,
ARRIVAL: no arrival match,COMPAAN,9479022,2017-02-25,2017-08-08,2017-08-08,GS061,Toluene/Xylene Mix,2861,MT,Antwerp,arriveddate,Arrived,1,Load,BE,ANR ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9479022&startdate=2017-02-14&enddate=2017-03-08,
ARRIVAL: no arrival match,CRISTINA,9489546,2017-04-12,2017-08-08,2017-08-08,MD001,"GasOil / Diesel / 2 Oils, Blend Component",2800,MT,Antwerp,arriveddate,Arrived,1,Discharge,BE,ANR ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9489546&startdate=2017-04-01&enddate=2017-04-23,
ARRIVAL: no arrival match,CRISTINA,9489546,2017-04-08,2017-08-08,2017-08-08,MD001,"GasOil / Diesel / 2 Oils, Blend Component",2794,MT,Antwerp,arriveddate,Arrived,1,Discharge,BE,ANR ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9489546&startdate=2017-03-28&enddate=2017-04-19,
ARRIVAL: no arrival match,COMPAAN,9479022,2017-02-07,2017-08-08,2017-08-08,MD001,"GasOil / Diesel / 2 Oils, Blend Component",2777,MT,Antwerp,arriveddate,Arrived,1,Discharge,BE,ANR ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9479022&startdate=2017-01-27&enddate=2017-02-18,
ARRIVAL: no arrival match,FLORENCE B,9406984,2017-04-24,2017-08-08,2017-08-08,BF005,FATTY ACID METHYL ESTER (FAME),2772,MT,Antwerp,arriveddate,Arrived,1,Load,BE,ANR ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9406984&startdate=2017-04-13&enddate=2017-05-05,
ARRIVAL: no arrival match,ATLANTIS ARMONA,9268162,2017-01-08,2017-08-08,2017-08-08,BF005,FATTY ACID METHYL ESTER (FAME),2761,MT,Southampton,arriveddate,Arrived,1,Discharge,GB,SOU ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9268162&startdate=2016-12-28&enddate=2017-01-19,
ARRIVAL: no arrival match,COMPAAN,9479022,2017-07-17,2017-08-08,2017-08-08,GS028,REGULAR GASOLINE BLENDSTOCK,2722,MT,Antwerp,arriveddate,Arrived,1,Discharge,BE,ANR ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9479022&startdate=2017-07-06&enddate=2017-07-28,
ARRIVAL: no arrival match,COMPAAN,9479022,2017-07-13,2017-08-08,2017-08-08,GS018,Raw Gasoline,2722,MT,Antwerp,arriveddate,Arrived,1,Load,BE,ANR ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9479022&startdate=2017-07-02&enddate=2017-07-24,
ARRIVAL: no arrival match,RAINBOW,9111046,2017-04-15,2017-08-08,2017-08-08,GS028,TN120,2700,MT,Antwerp,arriveddate,Arrived,1,Discharge,BE,ANR ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9111046&startdate=2017-04-04&enddate=2017-04-26,
ARRIVAL: no arrival match,ATHLOS,9700483,2017-07-12,2017-08-08,2017-08-08,MD004,ULSD 10ppm,2699,MT,Aspropyrgos,arriveddate,Arrived,1,Load,GR,ASS ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9700483&startdate=2017-07-01&enddate=2017-07-23,
ARRIVAL: no arrival match,BELLINI,9157014,2017-02-24,2017-08-08,2017-08-08,BF005,FATTY ACID METHYL ESTER (FAME),2648,MT,Antwerp,arriveddate,Arrived,1,Load,BE,ANR ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9157014&startdate=2017-02-13&enddate=2017-03-07,
ARRIVAL: no arrival match,ROSSINI,9156981,2017-07-21,2017-08-10,2017-08-10,BF005,FATTY ACID METHYL ESTER (FAME),2638,MT,Antwerp,arriveddate,Arrived,1,Load,BE,ANR ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9156981&startdate=2017-07-10&enddate=2017-08-01,
ARRIVAL: no arrival match,MOZART,9174086,2017-05-22,2017-08-08,2017-08-08,BF005,FATTY ACID METHYL ESTER (FAME),2624,MT,Antwerp,arriveddate,Arrived,1,Load,BE,ANR ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9174086&startdate=2017-05-11&enddate=2017-06-02,
ARRIVAL: no arrival match,ACHILLES,8008008,2017-03-23,2017-08-08,2017-08-08,GS011,Naphtha,2611,MT,Antwerp,arriveddate,Arrived,1,Discharge,BE,ANR ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=8008008&startdate=2017-03-12&enddate=2017-04-03,
ARRIVAL: no arrival match,COMPAAN,9479022,2017-05-04,2017-08-08,2017-08-08,GS049,Raffinate,2497,MT,Amsterdam,arriveddate,Arrived,1,Discharge,NL,AMS ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9479022&startdate=2017-04-23&enddate=2017-05-15,
ARRIVAL: no arrival match,INFINITY,8891235,2017-05-26,2017-08-08,2017-08-08,GS004,Benzene,2370,MT,Antwerp,arriveddate,Arrived,1,Load,BE,ANR ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=8891235&startdate=2017-05-15&enddate=2017-06-06,
ARRIVAL: no arrival match,MARIA THERESA,9228590,2017-03-13,2017-08-08,2017-08-08,BF005,FATTY ACID METHYL ESTER (FAME),2308,MT,Southampton,arriveddate,Arrived,1,Discharge,GB,SOU ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9228590&startdate=2017-03-02&enddate=2017-03-24,
ARRIVAL: no arrival match,CHANTAL,9382982,2017-06-01,2017-08-08,2017-08-08,MD013,Jet A1,2289,MT,Rotterdam,arriveddate,Arrived,1,Load,NL,RTM ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9382982&startdate=2017-05-21&enddate=2017-06-12,
ARRIVAL: no arrival match,NORDIC SOLA,9375989,2017-07-19,2017-08-10,2017-08-10,MD008,Gasoil,2200,MT,Amsterdam,arriveddate,Arrived,1,Discharge,NL,AMS ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9375989&startdate=2017-07-08&enddate=2017-07-30,
ARRIVAL: no arrival match,IMERA,9458066,2017-04-14,2017-08-08,2017-08-08,GS013,Pygas,2105,MT,Antwerp,arriveddate,Arrived,1,Discharge,BE,ANR ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9458066&startdate=2017-04-03&enddate=2017-04-25,
ARRIVAL: no arrival match,SENSATION,13955,2017-03-29,2017-08-08,2017-08-08,GS010,Methyl Tert-Butyl Ether (MTBE),2101,MT,Antwerp,arriveddate,Arrived,1,Load,BE,ANR ,,,,gs101,,manual modification,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=13955&startdate=2017-03-18&enddate=2017-04-09,
ARRIVAL: no arrival match,SENSATION,13955,2016-12-16,2017-08-08,2017-08-08,GS008,Toluene / Xylene (TX) Cut,2101,MT,Antwerp,arriveddate,Arrived,1,Load,BE,ANR ,,,,gs101,,manual modification,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=13955&startdate=2016-12-05&enddate=2016-12-27,
ARRIVAL: no arrival match,SENSATION,13955,2017-03-30,2017-08-08,2017-08-08,GS010,MTBE,2101,MT,Rotterdam,arriveddate,Arrived,1,Discharge,NL,RTM ,,,,gs101,,manual modification,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=13955&startdate=2017-03-19&enddate=2017-04-10,
ARRIVAL: no arrival match,ATLANTIS,9569621,2017-05-12,2017-08-08,2017-08-08,GS018,Gasoline,2100,MT,Amsterdam,arriveddate,Arrived,1,Load,NL,AMS ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9569621&startdate=2017-05-01&enddate=2017-05-23,
ARRIVAL: no arrival match,COMPASS,9274094,2017-05-09,2017-08-08,2017-08-08,GS009,Ethanol Blend,2098,MT,Rotterdam,arriveddate,Arrived,1,Load,NL,RTM ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9274094&startdate=2017-04-28&enddate=2017-05-20,
ARRIVAL: no arrival match,COMPAAN,9479022,2017-06-21,2017-08-08,2017-08-08,GS019,Eurobob,2097,MT,Amsterdam,arriveddate,Arrived,1,Load,NL,AMS ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9479022&startdate=2017-06-10&enddate=2017-07-02,
ARRIVAL: no arrival match,COMPAAN,9479022,2017-03-19,2017-08-08,2017-08-08,GS013,Pygas,2059,MT,Rotterdam,arriveddate,Arrived,1,Load,NL,RTM ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9479022&startdate=2017-03-08&enddate=2017-03-30,
ARRIVAL: no arrival match,ELSASS,8818257,2017-07-06,2017-08-08,2017-08-08,BF002,Biodiesel,2007,MT,Ghent,arriveddate,Arrived,1,Load,BE,GNE ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=8818257&startdate=2017-06-25&enddate=2017-07-17,
ARRIVAL: no arrival match,COMPAAN,9479022,2017-03-27,2017-08-08,2017-08-08,BF005,Tallow Methyl Ester (TME),2000,MT,Amsterdam,arriveddate,Arrived,1,Load,NL,AMS ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9479022&startdate=2017-03-16&enddate=2017-04-07,
ARRIVAL: no arrival match,NORDIC MARIANNE,9294680,2017-04-16,2017-08-08,2017-08-08,BF005,FATTY ACID METHYL ESTER (FAME),2000,MT,London,arriveddate,Arrived,1,Discharge,GB,LON ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9294680&startdate=2017-04-05&enddate=2017-04-27,
ARRIVAL: no arrival match,THUN GRATITUDE,9266413,2017-06-19,2017-08-08,2017-08-08,BF005,FATTY ACID METHYL ESTER (FAME),2000,MT,Milford Haven,arriveddate,Arrived,1,Load,GB,MLF ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9266413&startdate=2017-06-08&enddate=2017-06-30,
ARRIVAL: no arrival match,COMPAAN,9479022,2017-04-30,2017-08-08,2017-08-08,GS019,Eurobob,1998,MT,Rotterdam,arriveddate,Arrived,1,Discharge,NL,RTM ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9479022&startdate=2017-04-19&enddate=2017-05-11,
ARRIVAL: no arrival match,FIDELITY,9285744,2017-01-09,2017-08-08,2017-08-08,GS010,MTBE,1997,MT,Antwerp,arriveddate,Arrived,1,Discharge,BE,ANR ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9285744&startdate=2016-12-29&enddate=2017-01-20,
ARRIVAL: no arrival match,ADMIRAL,9234616,2017-06-11,2017-08-08,2017-08-08,GS002,Alkylate,1994,MT,Antwerp,arriveddate,Arrived,1,Load,BE,ANR ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9234616&startdate=2017-05-31&enddate=2017-06-22,
ARRIVAL: no arrival match,MISTRAL,9212876,2017-03-06,2017-08-08,2017-08-08,MD004,French FOD,1823,MT,Amsterdam,arriveddate,Arrived,1,Load,NL,AMS ,,,,gs101,,manual modification,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9212876&startdate=2017-02-23&enddate=2017-03-17,
ARRIVAL: no arrival match,CHARLOTTE,9286188,2017-07-17,2017-08-08,2017-08-08,GS009,Ethanol,1799,MT,Wanze,arriveddate,Arrived,1,Load,BE,WAN ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9286188&startdate=2017-07-06&enddate=2017-07-28,
ARRIVAL: no arrival match,SEFARINA,9715701,2017-12-30,2017-08-08,2017-08-08,GS049,Raffinate-1,1780,MT,Antwerp,bldate,Bill date,14,Discharge,BE,ANR ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9715701&startdate=2017-12-19&enddate=2018-01-10,
ARRIVAL: no arrival match,EVIAPETROL II,9344356,2016-12-27,2017-08-08,2017-08-08,BF005,FATTY ACID METHYL ESTER (FAME),1764,MT,Aspropyrgos,arriveddate,Arrived,1,Discharge,GR,ASS ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9344356&startdate=2016-12-16&enddate=2017-01-07,
ARRIVAL: no arrival match,GITTE,9020950,2017-02-26,2017-08-08,2017-08-08,GS011,Naphtha,1691,MT,Rotterdam,arriveddate,Arrived,1,Load,NL,RTM ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9020950&startdate=2017-02-15&enddate=2017-03-09,
ARRIVAL: no arrival match,SEFARINA,9715701,2017-12-25,2017-08-08,2017-08-08,GS049,Raffinate-1,1570,MT,Antwerp,bldate,Bill date,14,Discharge,BE,ANR ,,,,gs101,,source file,,http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9715701&startdate=2017-12-14&enddate=2018-01-05,
