Vessel,Laycan From,Laycan To,Destination,Origin,Charterer
Brightoil Glory,14-Feb-17,6-Mar-17,China,Ras Tanura,UNIPEC
Brightoil Glory,14-Feb-17,4-Mar-17,China,Ras Tanura,UNIPEC
Desh Vibhor,14-Feb-17,6-Mar-17,China,Juaymah,Sinochem Group
El Gurdabia,14-Feb-17,24-Feb-17,China,Kozmino,Chemchina
Nordic Breeze,14-Feb-17,2-Mar-17,China,Petronas Melaka,Statoil ASA
Al Derwazah,14-Feb-17,4-Mar-17,China,Mina Al-Ahmadi,
Texas,13-Feb-17,25-Mar-17,China,Kizomba C Mondo,PetroIneos
Dilong Spirit,13-Feb-17,31-Mar-17,China,Sidi Kerir,UNIPEC
Dilong Spirit,13-Feb-17,25-Mar-17,China,Sidi Kerir,UNIPEC
Shaybah,13-Feb-17,11-Apr-17,China,Galveston Light.,
Libra Voyager,13-Feb-17,15-Mar-17,China,Pacific Terminal,
Libra Voyager,13-Feb-17,13-Mar-17,China,Pacific Terminal,
Maran Centaurus,13-Feb-17,8-Mar-17,China,Linggi Light.,
Adventure,12-Feb-17,3-Mar-17,China,Juaymah,
Ling Yang Zuo,12-Feb-17,15-Feb-17,China,Aoshan,
Yuan Yang Hu,12-Feb-17,4-Mar-17,China,Soroosh,UNIPEC
Daniel,12-Feb-17,8-Mar-17,China,Kharg Island,
Madison Orca,12-Feb-17,13-Mar-17,China,Ras Tanura,UNIPEC
Samail,12-Feb-17,23-Mar-17,China,La Paloma Light.,
Front Hakata,11-Feb-17,17-Mar-17,China,Clov,UNIPEC
Fei Ma Zuo,11-Feb-17,17-Feb-17,China,Dongying,
Shaybah,11-Feb-17,14-Apr-17,China,Galveston Light.,
Shaybah,11-Feb-17,11-Apr-17,China,Galveston Light.,
New Vigorous,11-Feb-17,28-Mar-17,China,Zafiro,
New Vigorous,11-Feb-17,25-Mar-17,China,Zafiro,
Sentosa River,11-Feb-17,2-Mar-17,China,Pelepas Light.,Chemchina
Zouzou N.,11-Feb-17,27-Mar-17,China,Djeno,
Yong Xing Zhou,11-Feb-17,3-Mar-17,China,HYSY112,
Alice,11-Feb-17,29-Mar-17,China,Hound Point,Glencore
Sea Lion,11-Feb-17,20-Mar-17,China,Kizomba A,Sinochem Group
C. Progress,10-Feb-17,2-Apr-17,China,Malongo,UNIPEC
C. Progress,10-Feb-17,23-Mar-17,China,Malongo,UNIPEC
Astro Perseus,10-Feb-17,18-Mar-17,China,Acu,
Hedy,10-Feb-17,6-Mar-17,China,Kharg Island,
Bm Bonanza,10-Feb-17,19-Feb-17,China,Rang Dong,
Polymnia I,10-Feb-17,7-Jun-17,China,Akpo,
Shinyo Kieran,10-Feb-17,2-Apr-17,China,Jose Terminal,
Shi Zi Zuo,10-Feb-17,13-Feb-17,China,Dalian,
Qi Lian San,10-Feb-17,3-Mar-17,China,Mina Al Fahal,PetroChina
Liu Lin Wan,10-Feb-17,11-Feb-17,China,Beibu II,
Bei Hai Ming Wang,10-Feb-17,17-Feb-17,China,Xinxijiang,
Nordic Moon,10-Feb-17,31-Mar-17,China,Aruba Light.,
Tian Long Zuo,9-Feb-17,14-Feb-17,China,Dalian,
Maran Taurus,9-Feb-17,18-Mar-17,China,Greater Plutonio,UNIPEC
Maran Taurus,9-Feb-17,14-Mar-17,China,Greater Plutonio,UNIPEC
Plata Sunrise,9-Feb-17,4-Mar-17,China,Ras Tanura,SOCAR
Front Hakata,9-Feb-17,22-Mar-17,China,Malongo,UNIPEC
Front Hakata,9-Feb-17,17-Mar-17,China,Malongo,UNIPEC
Silver Sun,9-Feb-17,2-May-17,China,Bayu Undan,
Olympia I,9-Feb-17,1-Mar-17,China,Tankstore,
Olympia I,9-Feb-17,26-Feb-17,China,Tankstore,
Harbour Splendor,9-Feb-17,26-Mar-17,China,N'Goma,Sinochem Group
Storviken,8-Feb-17,22-Mar-17,China,P-47,
Maria Princess,8-Feb-17,2-Mar-17,China,Seria,
New Prospect,8-Feb-17,1-Mar-17,China,Al Basrah,
Hs Medea,8-Feb-17,18-Feb-17,China,Kozmino,BP
RATNA SHRUTI,8-Feb-17,8-Mar-17,China,Bashair,UNIPEC
San Ding Chang Chun,8-Feb-17,15-Feb-17,China,Huizhou,
New Horizon,8-Feb-17,3-Mar-17,China,Al Basrah,UNIPEC
San Ding Chang Le,8-Feb-17,12-Feb-17,China,Huizhou,
Jupiter Sun,8-Feb-17,12-Feb-17,China,Kozmino,PetroChina
Shaybah,7-Feb-17,14-Apr-17,China,Galveston Light.,
Libra Voyager,7-Feb-17,15-Mar-17,China,Pacific Terminal,
Feng Huang Zhou,7-Feb-17,15-Feb-17,China,Bohai Pengbo,
Sea Lion,7-Feb-17,20-Mar-17,China,PSVM,Sinochem Group
Gener8 Orion,7-Feb-17,11-Apr-17,China,Covenas,
Bei Hai Zhan Wang,6-Feb-17,11-Mar-17,China,Panyu,
Bei Hai Zhan Wang,6-Feb-17,15-Feb-17,China,Panyu,
Olympic Leopard,6-Feb-17,1-Mar-17,China,Mina Al Fahal,Sinochem Group
Nordic Freedom,6-Feb-17,27-Feb-17,China,Kozmino,
Alexander The Great,6-Feb-17,27-Mar-17,China,Jose Terminal,PetroChina
Jiu Hua San,6-Feb-17,1-Mar-17,China,Juaymah,Sinochem Group
Ephesos,6-Feb-17,20-May-17,China,English Channel,Total
Storviken,6-Feb-17,22-Mar-17,China,P-35,
Polymnia I,5-Feb-17,10-Jun-17,China,Agbami,
Polymnia I,5-Feb-17,7-Jun-17,China,Agbami,
Eurodestiny,5-Feb-17,28-Mar-17,China,Bullenbay,Koch S&T
Maran Centaurus,5-Feb-17,8-Mar-17,China,Linggi Light.,
Etc Ramsis,5-Feb-17,21-Feb-17,China,Kozmino,CCI
Sea Star Iii,5-Feb-17,5-Mar-17,China,Kharg Island Light.,
Kiowa Spirit,4-Feb-17,24-Feb-17,China,Pelepas Light.,
Brightoil Gravity,4-Feb-17,27-Mar-17,China,Al Basrah,
Maran Cassiopeia,4-Feb-17,23-Mar-17,China,Lome Light.,Mercuria
Bunga Kasturi Dua,4-Feb-17,11-Apr-17,China,Clov,Total
Bunga Kasturi Dua,4-Feb-17,16-Mar-17,China,Clov,Total
Zaliv Aniva,4-Feb-17,11-Feb-17,China,Sakhalin II,
Lian An Hu,4-Feb-17,7-Feb-17,China,Bohai Century,
New Talisman,4-Feb-17,18-Mar-17,China,Das Island,UNIPEC
Xin Lian Yang,4-Feb-17,19-Mar-17,China,Djeno,SOCAR
Xin Lian Yang,4-Feb-17,15-Mar-17,China,Djeno,SOCAR
Brightoil Legend,4-Feb-17,21-Feb-17,China,Pelepas Light.,
Brightoil Legend,4-Feb-17,17-Feb-17,China,Pelepas Light.,
Liu Lin Wan,4-Feb-17,6-Feb-17,China,Weng Chang,
Mesdar,4-Feb-17,5-Mar-17,China,Al Basrah,Sinochem Group
Mesdar,4-Feb-17,28-Feb-17,China,Al Basrah,Sinochem Group
Tian Hong Zuo,4-Feb-17,6-Feb-17,China,Lufeng,
Yang Lin Wan,3-Feb-17,7-Feb-17,China,Xinxijiang,
Nectar,3-Feb-17,19-Apr-17,China,Galveston Light.,
Desh Vaibhav,3-Feb-17,23-Feb-17,China,Juaymah,UNIPEC
Maran Arete,3-Feb-17,18-Mar-17,China,Jose Terminal,
Fsl Hong Kong,3-Feb-17,11-Mar-17,China,Esmeraldas,Tesoro
Olympic Leopard,3-Feb-17,7-Mar-17,China,Mina Al Fahal,Sinochem Group
Olympic Leopard,3-Feb-17,1-Mar-17,China,Mina Al Fahal,Sinochem Group
Brightoil Galaxy,3-Feb-17,17-Mar-17,China,Dalia,UNIPEC
Brightoil Galaxy,3-Feb-17,7-Mar-17,China,Dalia,UNIPEC
Aquila,3-Feb-17,30-Mar-17,China,Hound Point,BP
Maran Apollo,3-Feb-17,9-Mar-17,China,Malongo,
Maran Apollo,3-Feb-17,6-Mar-17,China,Malongo,
Stavanger Blossom,3-Feb-17,17-Feb-17,China,Nipah Light.,Statoil ASA
Hercules Voyager,3-Feb-17,17-Mar-17,China,La Paloma Light.,
Ling Yang Zuo,3-Feb-17,5-Feb-17,China,Aoshan,
Lian An Hu,3-Feb-17,7-Feb-17,China,Bohai Century,
Ocean Pegasus,3-Feb-17,11-Feb-17,China,Kozmino,
Island Splendor,2-Feb-17,28-Feb-17,China,Mina Al Fahal,
Island Splendor,2-Feb-17,21-Feb-17,China,Mina Al Fahal,
New Wealth,2-Feb-17,24-Feb-17,China,Juaymah,Sinochem Group
Nordic Moon,2-Feb-17,5-Apr-17,China,Dos Bocas,
Nordic Moon,2-Feb-17,31-Mar-17,China,Dos Bocas,
Samail,1-Feb-17,27-Mar-17,China,La Paloma Light.,
Samail,1-Feb-17,23-Mar-17,China,La Paloma Light.,
Ocean Taipan,1-Feb-17,27-Feb-17,China,Jebel Dhanna,Chemchina
Hercules Voyager,1-Feb-17,17-Mar-17,China,La Paloma Light.,
Cosrising Lake,1-Feb-17,28-Feb-17,China,Al Basrah,Sinochem Group
Seaheritage,1-Feb-17,14-Mar-17,China,Zhu Hai,
Seaheritage,1-Feb-17,5-Feb-17,China,Zhu Hai,
Abqaiq,1-Feb-17,16-Mar-17,China,Angra dos Reis,Petrobras
Maran Apollo,1-Feb-17,9-Mar-17,China,PSVM,
Nordic Light,1-Feb-17,27-Feb-17,China,Bashair,
Yu Lin Wan,1-Feb-17,21-Feb-17,China,Dalian,
Dubai Glamour,1-Feb-17,5-Feb-17,China,Kozmino,Trafigura
Yong Xing Zhou,1-Feb-17,1-Feb-17,China,Dongying,
Yuan Shan Hu,1-Feb-17,6-Mar-17,China,Mina Al Fahal,UNIPEC
Yuan Shan Hu,1-Feb-17,27-Feb-17,China,Mina Al Fahal,UNIPEC
Al Funtas,31-Jan-17,3-Mar-17,China,Mina Al-Ahmadi,
Overseas Everest,31-Jan-17,8-Mar-17,China,Kizomba C Mondo,
New Wealth,31-Jan-17,24-Feb-17,China,Juaymah,Sinochem Group
New Medal,31-Jan-17,25-Feb-17,China,Al Basrah,UNIPEC
Maran Lyra,31-Jan-17,15-Apr-17,China,Linggi Light.,
Vento,31-Jan-17,15-Mar-17,China,Pelepas Light.,
Astro Chorus,31-Jan-17,22-Feb-17,China,Al Basrah,UNIPEC
Bunga Kasturi Dua,31-Jan-17,11-Apr-17,China,Cap Lopez,Total
Finesse,30-Jan-17,11-Mar-17,China,La Paloma Light.,PetroChina
Xin Lian Yang,30-Jan-17,19-Mar-17,China,Djeno,SOCAR
Xin Jin Yang,30-Jan-17,22-Feb-17,China,Kharg Island,
Xin Lian Yang,30-Jan-17,19-Mar-17,China,Djeno,SOCAR
Ice Transporter,30-Jan-17,25-Feb-17,China,Das Island,BP
Cospearl Lake,30-Jan-17,16-Mar-17,China,Malongo,UNIPEC
Cospearl Lake,30-Jan-17,9-Mar-17,China,Malongo,UNIPEC
Sebarok Spirit,30-Jan-17,16-Feb-17,China,Kozmino,Chemchina
Ilma,29-Jan-17,25-Mar-17,China,Clov,Chemchina
Dar Salwa,29-Jan-17,18-Feb-17,China,Mina Al-Ahmadi,
Dar Salwa,29-Jan-17,16-Feb-17,China,Mina Al-Ahmadi,
Overseas Everest,29-Jan-17,8-Mar-17,China,Pazflor,
Sea Voyager,29-Jan-17,13-Feb-17,China,Bach Ho,UNIPEC
Maran Castor,29-Jan-17,6-Mar-17,China,Al Basrah,UNIPEC
Brightoil Galaxy,29-Jan-17,25-Mar-17,China,Jubilee Light.,UNIPEC
Brightoil Galaxy,29-Jan-17,17-Mar-17,China,Jubilee Light.,UNIPEC
Coswisdom Lake,29-Jan-17,19-Feb-17,China,Juaymah,UNIPEC
Coswisdom Lake,29-Jan-17,18-Feb-17,China,Juaymah,UNIPEC
Coswisdom Lake,29-Jan-17,16-Feb-17,China,Juaymah,UNIPEC
Ocean Queen,29-Jan-17,4-Feb-17,China,Kozmino,Chemchina
Lian Yun Hu,29-Jan-17,29-Jan-17,China,Qinzhou Light.,
Nordic Grace,28-Jan-17,3-Mar-17,China,Zueitina,UNIPEC
South Sea,28-Jan-17,14-Mar-17,China,Teesside,PetroIneos
Rbd Anema E Core,28-Jan-17,10-Feb-17,China,Chevron Dumai,Glencore
Bei Hai Ming Wang,28-Jan-17,2-Feb-17,China,Bohai Pengbo,
Poros,28-Jan-17,17-Feb-17,China,Juaymah,UNIPEC
Lian Ping Hu,28-Jan-17,2-Feb-17,China,Mizushima Nippon,
Aqualegacy,28-Jan-17,2-Mar-17,China,Esmeraldas,
Ioanna,28-Jan-17,22-Feb-17,China,Zirku,CNOOC
New Spirit,27-Jan-17,27-Feb-17,China,Mina Al Fahal,
New Spirit,27-Jan-17,21-Feb-17,China,Mina Al Fahal,
Halti,27-Jan-17,17-Mar-17,China,Kharg Island,
Halti,27-Jan-17,15-Mar-17,China,Kharg Island,
New Paradise,27-Jan-17,22-Feb-17,China,Ras Tanura,UNIPEC
New Accord,27-Jan-17,12-Feb-17,China,Pelepas Light.,Chemchina
Feng Huang Zhou,27-Jan-17,2-Feb-17,China,Panyu,
Gc Fuzhou,27-Jan-17,12-Mar-17,China,Angra dos Reis,Petrobras
Smyrni,27-Jan-17,28-Feb-17,China,BTC Terminal,SOCAR
Ling Yang Zuo,27-Jan-17,30-Jan-17,China,Aoshan,
Cospearl Lake,27-Jan-17,16-Mar-17,China,N'Goma,UNIPEC
Hong Kong Spirit,26-Jan-17,24-Feb-17,China,Juaymah,
Bei Hai Zhong Wang,26-Jan-17,27-Jan-17,China,Lufeng,
Overseas Mulan,26-Jan-17,20-Feb-17,China,Al Basrah,
Syros Warrior,26-Jan-17,3-Feb-17,China,Kozmino,Chemchina
San Ding Chang Chun,26-Jan-17,29-Jan-17,China,Xinxijiang,
New Wisdom,26-Jan-17,18-Feb-17,China,Al Basrah,
New Wisdom,26-Jan-17,16-Feb-17,China,Al Basrah,
Lian Sheng Hu,26-Jan-17,27-Jan-17,China,Qinzhou Light.,
Dht Hawk,25-Jan-17,27-Apr-17,China,Kizomba B,Gunvor
San Ding Chang Le,25-Jan-17,1-Feb-17,China,Dongying,
CAP LARA,25-Jan-17,14-Feb-17,China,Pelepas Light.,Chemchina
Seaheritage,25-Jan-17,26-Jan-17,China,Xinxijiang,
Diamondway,25-Jan-17,17-Mar-17,China,Bullenbay,PetroChina
Sea Hymn,25-Jan-17,5-Feb-17,China,Kozmino,
Lian Ping Hu,25-Jan-17,2-Feb-17,China,Oita,
Xin Yong Yang,25-Jan-17,18-Feb-17,China,Al Basrah,
Tian Long Zuo,24-Jan-17,29-Jan-17,China,Qingdao,
Cosgreat Lake,24-Jan-17,10-Mar-17,China,Sendje Ceiba,
Cosgreat Lake,24-Jan-17,6-Mar-17,China,Sendje Ceiba,
Yuan Chun Hu,24-Jan-17,14-Feb-17,China,Kharg Island,
Phaethon,24-Jan-17,9-Mar-17,China,Teesside,
Artois,24-Jan-17,23-Feb-17,China,Mina Al Fahal,Pacific Commerce
Cosmerry Lake,24-Jan-17,15-Feb-17,China,Al Basrah,
Kythira Warrior,24-Jan-17,4-Feb-17,China,Kozmino,UNIPEC
Nordic Saturn,24-Jan-17,12-Feb-17,China,Pelepas Light.,Glencore
Maran Taurus,24-Jan-17,18-Mar-17,China,Malongo,UNIPEC
Kahla,24-Jan-17,17-Mar-17,China,Jose Terminal,Petrobras
Ocean Accord,24-Jan-17,5-Feb-17,China,Wandoo,
New Peace,24-Jan-17,10-Feb-17,China,Soroosh,
New Voyage,23-Jan-17,2-Mar-17,China,Dalia,CNOOC
New Voyage,23-Jan-17,25-Feb-17,China,Dalia,CNOOC
Marina M,23-Jan-17,17-Feb-17,China,Juaymah,UNIPEC
Athinea,23-Jan-17,24-Feb-17,China,Bashair,PetroChina
Liu Lin Wan,23-Jan-17,24-Jan-17,China,Wusongkou,
New Vanguard,23-Jan-17,13-Mar-17,China,Sao Sebastiao,Petrobras
New Vanguard,23-Jan-17,6-Mar-17,China,Sao Sebastiao,Petrobras
Pacific Singapore,23-Jan-17,2-Mar-17,China,Pelepas Light.,
Front Energy,23-Jan-17,17-Feb-17,China,Al Basrah,UNIPEC
Eagle Varna,23-Jan-17,26-Feb-17,China,Pacific Terminal,
Tian Hong Zuo,22-Jan-17,27-Jan-17,China,HYSY112,
Al Riqqa,22-Jan-17,17-Feb-17,China,Mina Al-Ahmadi,
Marbella,22-Jan-17,14-Feb-17,China,Zirku,UNIPEC
Bahamas Spirit,22-Jan-17,7-Mar-17,China,Miri,
Bei Hai Zhan Wang,22-Jan-17,27-Jan-17,China,Panyu,
Dht Utah,22-Jan-17,3-Mar-17,China,Djeno,
Dht Utah,22-Jan-17,27-Feb-17,China,Djeno,
Xin Ning Yang,22-Jan-17,17-Feb-17,China,Juaymah,UNIPEC
Xin Ning Yang,22-Jan-17,12-Feb-17,China,Juaymah,UNIPEC
Jupiter Sun,22-Jan-17,30-Jan-17,China,Kozmino,PetroChina
Pacific Singapore,21-Jan-17,2-Mar-17,China,ATB,
Derya,21-Jan-17,15-Feb-17,China,Kharg Island,
Lian Xing Hu,21-Jan-17,27-Jan-17,China,Huizhou,
Hua San,21-Jan-17,12-Feb-17,China,Mina Al Fahal,
Xin Tong Yang,21-Jan-17,12-Feb-17,China,Al Basrah,UNIPEC
Songa Coral,21-Jan-17,31-Jan-17,China,Kozmino,UNIPEC
Yang Lin Wan,21-Jan-17,28-Jan-17,China,Bohai Pengbo,
Cosjade Lake,21-Jan-17,9-Feb-17,China,Juaymah,
CAP LARA,21-Jan-17,14-Feb-17,China,Pelepas Light.,Chemchina
Qi Lian San,20-Jan-17,3-Mar-17,China,Nipah Light.,Sinochem Group
New Voyage,20-Jan-17,2-Mar-17,China,Malongo,CNOOC
Ioanna,20-Jan-17,3-Mar-17,China,Mina Al Fahal,CNOOC
Ioanna,20-Jan-17,22-Feb-17,China,Mina Al Fahal,CNOOC
New Peace,20-Jan-17,10-Feb-17,China,Kharg Island,
Guang Xing Zhou,20-Jan-17,22-Jan-17,China,Rizhao,
Pacific Singapore,20-Jan-17,2-Mar-17,China,Tankstore,
Dilam,20-Jan-17,9-Mar-17,China,Aruba Light.,Essar Oil
Cosgreat Lake,20-Jan-17,10-Mar-17,China,PSVM,
Brightoil League,20-Jan-17,3-Feb-17,China,Yeosu,CNOOC
Shiblah,20-Jan-17,2-Mar-17,China,Kizomba A,
Shiblah,20-Jan-17,22-Feb-17,China,Kizomba A,
Saham,19-Jan-17,2-Mar-17,China,Angra dos Reis,
Gener8 Neptune,19-Jan-17,18-Mar-17,China,Hound Point,BP
Gener8 Neptune,19-Jan-17,13-Mar-17,China,Hound Point,BP
Xin An Yang,19-Jan-17,11-Feb-17,China,Kharg Island,
Cosgreat Lake,19-Jan-17,10-Mar-17,China,PSVM,
Bei Hai Wei Wang,19-Jan-17,11-Feb-17,China,Panyu,
Dino I,19-Jan-17,12-Feb-17,China,Kharg Island,
Scf Shanghai,19-Jan-17,11-Mar-17,China,Jose Terminal,PetroChina
New Peace,19-Jan-17,10-Feb-17,China,Assaluyeh,
Newton,19-Jan-17,12-Feb-17,China,Al Basrah,Sinochem Group
C. Spirit,19-Jan-17,24-Feb-17,China,Angola,PetroIneos
Dubai Attraction,19-Jan-17,11-Feb-17,China,Gagak Rimang,Glencore
Dht Opal,19-Jan-17,3-Feb-17,China,Mina Al Fahal,Sinochem Group
Front Odin,18-Jan-17,24-Feb-17,China,Cap Lopez,Total
Cosglad Lake,18-Jan-17,9-Mar-17,China,TEN,Chemchina
Olympic Flag,18-Jan-17,19-Feb-17,China,BTC Terminal,SOCAR
Dino I,18-Jan-17,12-Feb-17,China,Soroosh,
Dilam,18-Jan-17,9-Mar-17,China,Aruba Light.,Essar Oil
Eagle Varna,18-Jan-17,26-Feb-17,China,Pacific Terminal,
Kiowa Spirit,17-Jan-17,21-Jan-17,China,Seria,
Lian Shun Hu,17-Jan-17,15-Feb-17,China,Linggi Light.,
Dht Leopard,17-Jan-17,9-Feb-17,China,Juaymah,UNIPEC
Zaliv Aniva,17-Jan-17,25-Jan-17,China,Sakhalin II,
Dong Ting Hu,17-Jan-17,31-Jan-17,China,Bohai Century,
Sea Splendor,17-Jan-17,14-Feb-17,China,Al Basrah,
Blue Sky,17-Jan-17,2-Feb-17,China,Tianjin,
Hua San,17-Jan-17,12-Feb-17,China,Ras Tanura,
Sea Leopard,16-Jan-17,6-Feb-17,China,Juaymah,Sinochem Group
C. Spirit,16-Jan-17,28-Feb-17,China,Girassol,PetroIneos
C. Spirit,16-Jan-17,24-Feb-17,China,Girassol,PetroIneos
Athina,16-Jan-17,10-Mar-17,China,Southwold Light.,UNIPEC
Umm Al Aish,16-Jan-17,15-Feb-17,China,Mina Al-Ahmadi,
Umm Al Aish,16-Jan-17,9-Feb-17,China,Mina Al-Ahmadi,
Dong Ting Hu,16-Jan-17,31-Jan-17,China,Bohai Century,
Feng Huang Zuo,16-Jan-17,25-Jan-17,China,Zhanjiang,
Ligurian Sea,16-Jan-17,19-Jan-17,China,Geoje,Glencore
Oklahoma,15-Jan-17,31-Jan-17,China,Vincent,
Amber,15-Jan-17,23-Feb-17,China,Kharg Island,
Amber,15-Jan-17,15-Feb-17,China,Kharg Island,
Ocean Queen,15-Jan-17,20-Jan-17,China,Kozmino,
Ti Hellas,15-Jan-17,4-Mar-17,China,Angra dos Reis,
Shiblah,15-Jan-17,2-Mar-17,China,PSVM,
Nordic Cross,15-Jan-17,14-Feb-17,China,Bashair,UNIPEC
El Gurdabia,15-Jan-17,25-Jan-17,China,Kozmino,Chemchina
Leonidas,15-Jan-17,23-Feb-17,China,N'Goma,UNIPEC
Leonidas,15-Jan-17,18-Feb-17,China,N'Goma,UNIPEC
Shinyo Kannika,15-Jan-17,13-Feb-17,China,Ras Tanura,UNIPEC
Shinyo Kannika,15-Jan-17,8-Feb-17,China,Ras Tanura,UNIPEC
RATNA SHRADHA,15-Jan-17,27-Jan-17,China,Rang Dong,IOC
Godavari Spirit,15-Jan-17,2-Mar-17,China,Bullenbay,Mercuria
New Triumph,15-Jan-17,11-Mar-17,China,Hound Point,SOCAR
New Triumph,15-Jan-17,1-Mar-17,China,Hound Point,SOCAR
Yu Lin Wan,15-Jan-17,22-Jan-17,China,Mercuria Storage,
Hakone,14-Jan-17,3-Mar-17,China,Jose Terminal,
Silver Glory,14-Jan-17,2-Feb-17,China,Ras Tanura,Vitol
Silver Glory,14-Jan-17,1-Feb-17,China,Ras Tanura,Vitol
Felicity,14-Jan-17,8-Feb-17,China,Port Said Light.,
Etc Ramsis,14-Jan-17,26-Jan-17,China,Kozmino,Trafigura
Xin Tong Yang,14-Jan-17,12-Feb-17,China,Ras Tanura,UNIPEC
Cosglad Lake,14-Jan-17,18-Mar-17,China,Oguendjo,Chemchina
Cosglad Lake,14-Jan-17,9-Mar-17,China,Oguendjo,Chemchina
YANG NING HU,14-Jan-17,26-Jan-17,China,Chevron Dumai,
Gener8 St. Nikolas,14-Jan-17,12-Mar-17,China,Teesside,
Gener8 St. Nikolas,14-Jan-17,2-Mar-17,China,Teesside,
Istanbul,13-Jan-17,24-Mar-17,China,Covenas,PetroChina
Singapore River,13-Jan-17,20-Jan-17,China,Kozmino,UNIPEC
Cosgrand Lake,13-Jan-17,22-Feb-17,China,Malongo,
Cosgrand Lake,13-Jan-17,17-Feb-17,China,Malongo,
Lian Xing Hu,13-Jan-17,13-Jan-17,China,Aoshan,
Sonangol Huila,13-Jan-17,6-Mar-17,China,Caleta Cordova,
Seaheritage,12-Jan-17,20-Jan-17,China,Xinxijiang  Field I,
Kaveri Spirit,12-Jan-17,2-Mar-17,China,St Eustatius,
Koho I,12-Jan-17,2-Feb-17,China,Al Basrah,
Fei Ma Zuo,12-Jan-17,3-Feb-17,China,Weng Chang,
Cosgrand Lake,12-Jan-17,25-Feb-17,China,Pazflor,
Cosgrand Lake,12-Jan-17,22-Feb-17,China,Pazflor,
Bei Hai Wei Wang,12-Jan-17,13-Jan-17,China,Weng Chang,
Olympic Leader,12-Jan-17,31-Jan-17,China,Ras Tanura,PetroChina
Ocean Lily,12-Jan-17,13-Feb-17,China,Jubilee Light.,Sinochem Group
Yong Xing Zhou,12-Jan-17,15-Jan-17,China,Dalian,
San Ding Chang Chun,12-Jan-17,14-Jan-17,China,HYSY112,
San Ding Chang Chun,12-Jan-17,14-Jan-17,China,HYSY112,
Izki,11-Jan-17,9-Feb-17,China,Mina Al Fahal,IOC
Izki,11-Jan-17,2-Feb-17,China,Mina Al Fahal,IOC
Th Symphony,11-Jan-17,17-Jan-17,China,Kozmino,Trafigura
Seaways Portland,11-Jan-17,21-Jan-17,China,Longkou,Ursa
Dilam,11-Jan-17,21-Mar-17,China,Covenas,Essar Oil
Dilam,11-Jan-17,9-Mar-17,China,Covenas,Essar Oil
Maran Centaurus,11-Jan-17,8-Mar-17,China,Linggi Light.,
Xin Xia Yang,11-Jan-17,30-Jan-17,China,Kharg Island,UNIPEC
Etc Mena,11-Jan-17,11-Feb-17,China,Kozmino,Trafigura
Tai Hung San,10-Jan-17,11-Feb-17,China,Ras Tanura,Sinochem Group
Tai Hung San,10-Jan-17,2-Feb-17,China,Ras Tanura,Sinochem Group
Pinnacle Spirit,10-Jan-17,1-Mar-17,China,P-35,
Lian Sheng Hu,10-Jan-17,21-Jan-17,China,Qinzhou Light.,
New Globe,10-Jan-17,29-Jan-17,China,Ras Tanura,
Yuan Yue Hu,10-Jan-17,1-Feb-17,China,Kharg Island,UNIPEC
C.Galaxy,10-Jan-17,7-Feb-17,China,Zirku,
C.Galaxy,10-Jan-17,27-Jan-17,China,Zirku,
Ling Yang Zuo,10-Jan-17,11-Jan-17,China,Panyu,
Taga,10-Jan-17,6-Feb-17,China,Al Basrah,UNIPEC
Taga,10-Jan-17,2-Feb-17,China,Al Basrah,UNIPEC
Dht Utah,10-Jan-17,3-Mar-17,China,Djeno,
Athina,9-Jan-17,10-Mar-17,China,Hound Point,UNIPEC
Sea Voyager,9-Jan-17,17-Jan-17,China,Kozmino,
Sea Voyager,9-Jan-17,12-Jan-17,China,Kozmino,
Eco Queen,9-Jan-17,20-Feb-17,China,Dalia,PetroIneos
Leonidas,9-Jan-17,23-Feb-17,China,PSVM,UNIPEC
Pacific Cape,9-Jan-17,22-Jan-17,China,Pelepas Light.,
Brightoil Lucky,9-Jan-17,19-Jan-17,China,Kozmino,
Feng Huang Zhou,9-Jan-17,12-Jan-17,China,Xinxijiang,
C.Galaxy,9-Jan-17,7-Feb-17,China,Jebel Dhanna,
Pecos,9-Jan-17,1-Mar-17,China,Castries,
Bei Hai Zhan Wang,9-Jan-17,15-Jan-17,China,Laizhou,
Svet,8-Jan-17,2-Feb-17,China,Ras Tanura,
New Pioneer,8-Jan-17,2-Feb-17,China,Ras Tanura,
Farhah,8-Jan-17,27-Feb-17,China,Malongo,UNIPEC
Destiny,8-Jan-17,4-Mar-17,China,Brightoil Refinery,
Ocean Voyager,8-Jan-17,16-Jan-17,China,Yeosu,UNIPEC
Al Yarmouk,8-Jan-17,2-Feb-17,China,Mina Al-Ahmadi,
Landbridge Prosperity,7-Jan-17,26-Jan-17,China,Zirku,
Syros Warrior,7-Jan-17,11-Jan-17,China,Kozmino,Chemchina
Guang Xing Zhou,7-Jan-17,10-Jan-17,China,Dalian,
Pola,7-Jan-17,6-Feb-17,China,Bashair,UNIPEC
Pola,7-Jan-17,31-Jan-17,China,Bashair,UNIPEC
E Mei San,7-Jan-17,28-Jan-17,China,Al Basrah,
Lian Xing Hu,7-Jan-17,9-Jan-17,China,Aoshan,
Lian An Hu,7-Jan-17,12-Jan-17,China,Bohai Century,
Eco Queen,6-Jan-17,20-Feb-17,China,Dalia,PetroIneos
Ocean Lily,6-Jan-17,16-Feb-17,China,Malongo,Sinochem Group
