"reason","imo","operation_date","report_date","archive_time","grade","grade_raw","quantity","port","operation_raw","operation","rank_operation","direction","lo_country_code","lo_city_code","charterer","supplier","receiver","source_file","source_sheet","source_imo","min_dist","bargo"
"ARRIVAL: no arrival match","SENSATION","2017-03-04","2017-08-08","2017-08-08","GS008","Toluene / Xylene (TX) Cut","4003.0","MT","arriveddate","Arrived","1","Load","BE","ANR ","","","","gs101","","manual modification","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=13955&startdate=2017-02-21&enddate=2017-03-15"
"ARRIVAL: no arrival match","SENSATION","2017-05-24","2017-08-08","2017-08-08","GS008","Toluene / Xylene (TX) Cut","4000.0","MT","arriveddate","Arrived","1","Load","BE","ANR ","","","","gs101","","manual modification","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=13955&startdate=2017-05-13&enddate=2017-06-04"
"ARRIVAL: no arrival match","BEAUFORT","2017-05-17","2017-08-08","2017-08-08","GS011","Blend TN100","4000.0","MT","arriveddate","Arrived","1","Load","NL","TNZ ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9610339&startdate=2017-05-06&enddate=2017-05-28"
"ARRIVAL: no arrival match","RC BEHAR","2017-06-04","2017-08-08","2017-08-08","BF005","FATTY ACID METHYL ESTER (FAME)","4000.0","MT","bertheddate","Berthed","2","Discharge","NL","RTM ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9413664&startdate=2017-05-24&enddate=2017-06-15"
"ARRIVAL: no arrival match","SENSATION","2017-06-05","2017-08-08","2017-08-08","GS008","Toluene / Xylene (TX) Cut","3995.0","MT","arriveddate","Arrived","1","Load","BE","ANR ","","","","gs101","","manual modification","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=13955&startdate=2017-05-25&enddate=2017-06-16"
"ARRIVAL: no arrival match","ATLANTIC PIONEER","2017-04-21","2017-08-08","2017-08-08","GS051","Splitter Bottoms","3974.0","MT","arriveddate","Arrived","1","Discharge","NL","RTM ","","","","gs101","","manual modification","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9397145&startdate=2017-04-10&enddate=2017-05-02"
"ARRIVAL: no arrival match","SENSATION","2017-01-30","2017-08-08","2017-08-08","GS061","Toluene/Xylene Mix","3796.0","MT","arriveddate","Arrived","1","Load","BE","ANR ","","","","gs101","","manual modification","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=13955&startdate=2017-01-19&enddate=2017-02-10"
"ARRIVAL: no arrival match","VANCOUVER","2017-03-02","2017-08-08","2017-08-08","GS051","Splitter Bottoms","3730.0","MT","arriveddate","Arrived","1","Discharge","NL","RTM ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9373955&startdate=2017-02-19&enddate=2017-03-13"
"ARRIVAL: no arrival match","VANCOUVER","2017-05-06","2017-08-08","2017-08-08","MD017","GasOil / Diesel / 2 Oils, High Sulphur","3698.0","MT","arriveddate","Arrived","1","Load","BE","ANR ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9373955&startdate=2017-04-25&enddate=2017-05-17"
"ARRIVAL: no arrival match","VANCOUVER","2017-02-10","2017-08-08","2017-08-08","GS051","Splitter Bottoms","3692.0","MT","arriveddate","Arrived","1","Discharge","NL","RTM ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9373955&startdate=2017-01-30&enddate=2017-02-21"
"ARRIVAL: no arrival match","VANCOUVER","2017-02-06","2017-08-08","2017-08-08","GS051","Splitter Bottoms","3662.0","MT","arriveddate","Arrived","1","Discharge","NL","RTM ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9373955&startdate=2017-01-26&enddate=2017-02-17"
"ARRIVAL: no arrival match","VANCOUVER","2017-04-22","2017-08-08","2017-08-08","GS051","Splitter Bottoms","3658.0","MT","arriveddate","Arrived","1","Discharge","NL","RTM ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9373955&startdate=2017-04-11&enddate=2017-05-03"
"ARRIVAL: no arrival match","VANCOUVER","2017-01-17","2017-08-08","2017-08-08","GS051","Splitter Bottoms","3657.0","MT","arriveddate","Arrived","1","Discharge","NL","RTM ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9373955&startdate=2017-01-06&enddate=2017-01-28"
"ARRIVAL: no arrival match","HUSEYN JAVID","2016-12-18","2017-08-08","2017-08-08","BF005","B100 - FATTY ACID METHYL ESTER (FAME)","3456.0","MT","arriveddate","Arrived","1","Load","NL","RTM ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9383613&startdate=2016-12-07&enddate=2016-12-29"
"ARRIVAL: no arrival match","DONIZETTI","2017-01-27","2017-08-08","2017-08-08","BF005","FATTY ACID METHYL ESTER (FAME)","3259.0","MT","arriveddate","Arrived","1","Load","BE","ANR ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9174098&startdate=2017-01-16&enddate=2017-02-07"
"ARRIVAL: no arrival match","ATHLOS","2017-07-12","2017-08-08","2017-08-08","GS019","Unleaded Gasoline 95 RON","3202.0","MT","arriveddate","Arrived","1","Load","GR","ASS ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9700483&startdate=2017-07-01&enddate=2017-07-23"
