"reason","imo","operation_date","report_date","archive_time","grade","grade_raw","quantity","port","operation_raw","operation","rank_operation","direction","lo_country_code","lo_city_code","charterer","supplier","receiver","source_file","source_sheet","source_imo","min_dist","bargo"
"ARRIVAL: no arrival match","ELSASS","2017-07-06","2017-08-08","2017-08-08","BF002","Biodiesel","2007.0","MT","arriveddate","Arrived","1","Load","BE","GNE ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=8818257&startdate=2017-06-25&enddate=2017-07-17"
"ARRIVAL: no arrival match","NORDIC MARIANNE","2017-04-16","2017-08-08","2017-08-08","BF005","FATTY ACID METHYL ESTER (FAME)","2000.0","MT","arriveddate","Arrived","1","Discharge","GB","LON ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9294680&startdate=2017-04-05&enddate=2017-04-27"
"ARRIVAL: no arrival match","THUN GRATITUDE","2017-06-19","2017-08-08","2017-08-08","BF005","FATTY ACID METHYL ESTER (FAME)","2000.0","MT","arriveddate","Arrived","1","Load","GB","MLF ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9266413&startdate=2017-06-08&enddate=2017-06-30"
"ARRIVAL: no arrival match","COMPAAN","2017-03-27","2017-08-08","2017-08-08","BF005","Tallow Methyl Ester (TME)","2000.0","MT","arriveddate","Arrived","1","Load","NL","AMS ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9479022&startdate=2017-03-16&enddate=2017-04-07"
"ARRIVAL: no arrival match","COMPAAN","2017-04-30","2017-08-08","2017-08-08","GS019","Eurobob","1998.0","MT","arriveddate","Arrived","1","Discharge","NL","RTM ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9479022&startdate=2017-04-19&enddate=2017-05-11"
"ARRIVAL: no arrival match","FIDELITY","2017-01-09","2017-08-08","2017-08-08","GS010","MTBE","1997.0","MT","arriveddate","Arrived","1","Discharge","BE","ANR ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9285744&startdate=2016-12-29&enddate=2017-01-20"
"ARRIVAL: no arrival match","ADMIRAL","2017-06-11","2017-08-08","2017-08-08","GS002","Alkylate","1994.0","MT","arriveddate","Arrived","1","Load","BE","ANR ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9234616&startdate=2017-05-31&enddate=2017-06-22"
"ARRIVAL: no arrival match","MISTRAL","2017-03-06","2017-08-08","2017-08-08","MD004","French FOD","1823.0","MT","arriveddate","Arrived","1","Load","NL","AMS ","","","","gs101","","manual modification","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9212876&startdate=2017-02-23&enddate=2017-03-17"
"ARRIVAL: no arrival match","CHARLOTTE","2017-07-17","2017-08-08","2017-08-08","GS009","Ethanol","1799.0","MT","arriveddate","Arrived","1","Load","BE","WAN ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9286188&startdate=2017-07-06&enddate=2017-07-28"
"ARRIVAL: no arrival match","SEFARINA","2017-12-30","2017-08-08","2017-08-08","GS049","Raffinate-1","1780.0","MT","bldate","Bill date","14","Discharge","BE","ANR ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9715701&startdate=2017-12-19&enddate=2018-01-10"
"ARRIVAL: no arrival match","EVIAPETROL II","2016-12-27","2017-08-08","2017-08-08","BF005","FATTY ACID METHYL ESTER (FAME)","1764.0","MT","arriveddate","Arrived","1","Discharge","GR","ASS ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9344356&startdate=2016-12-16&enddate=2017-01-07"
"ARRIVAL: no arrival match","GITTE","2017-02-26","2017-08-08","2017-08-08","GS011","Naphtha","1691.0","MT","arriveddate","Arrived","1","Load","NL","RTM ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9020950&startdate=2017-02-15&enddate=2017-03-09"
"ARRIVAL: no arrival match","SEFARINA","2017-12-25","2017-08-08","2017-08-08","GS049","Raffinate-1","1570.0","MT","bldate","Bill date","14","Discharge","BE","ANR ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9715701&startdate=2017-12-14&enddate=2018-01-05"
"ARRIVAL: no arrival match","LADY HILDE","2017-07-21","2017-08-08","2017-08-08","GS049","Raffinate-1","1500.0","MT","arriveddate","Arrived","1","Discharge","BE","ANR ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9172129&startdate=2017-07-10&enddate=2017-08-01"
"ARRIVAL: no arrival match","JUSTINE","2017-02-02","2017-08-08","2017-08-08","GS009","Ethanol Blend","1485.0","MT","arriveddate","Arrived","1","Load","NL","RTM ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9253454&startdate=2017-01-22&enddate=2017-02-13"
"ARRIVAL: no arrival match","SAVONA","2017-08-05","2017-08-11","2017-08-11","MD013","Jet A1","1435.0","MT","arriveddate","Arrived","1","Load","NL","RTM ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9533311&startdate=2017-07-25&enddate=2017-08-16"
"ARRIVAL: no arrival match","MALMO","2017-04-21","2017-08-08","2017-08-08","MD004","ULSD","1413.0","MT","arriveddate","Arrived","1","Load","NL","RTM ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9373242&startdate=2017-04-10&enddate=2017-05-02"
"ARRIVAL: no arrival match","ANNA","2017-02-17","2017-08-08","2017-08-08","MD004","ULSD","1398.0","MT","arriveddate","Arrived","1","Load","NL","RTM ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9566796&startdate=2017-02-06&enddate=2017-02-28"
"ARRIVAL: no arrival match","MALMO","2017-04-10","2017-08-08","2017-08-08","MD004","ULSD","1383.0","MT","arriveddate","Arrived","1","Load","NL","RTM ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9373242&startdate=2017-03-30&enddate=2017-04-21"
"ARRIVAL: no arrival match","LENA","2017-07-10","2017-08-08","2017-08-08","MD008","Heavy Coker Gas Oil","1226.0","MT","arriveddate","Arrived","1","Discharge","NL","RTM ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9538854&startdate=2017-06-29&enddate=2017-07-21"
"ARRIVAL: no arrival match","VIDI","2017-06-24","2017-08-08","2017-08-08","MD020","Low Sulphur Gas Oil","1181.0","MT","arriveddate","Arrived","1","Load","BE","ANR ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9549736&startdate=2017-06-13&enddate=2017-07-05"
"ARRIVAL: no arrival match","SOPHIA","2017-02-17","2017-08-08","2017-08-08","GS011","Naphtha","1181.0","MT","arriveddate","Arrived","1","Load","NL","RTM ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=6918091&startdate=2017-02-06&enddate=2017-02-28"
"ARRIVAL: no arrival match","ARGO","2017-02-17","2017-08-08","2017-08-08","GS013","Pygas","1125.0","MT","arriveddate","Arrived","1","Discharge","BE","ANR ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9187667&startdate=2017-02-06&enddate=2017-02-28"
"ARRIVAL: no arrival match","RIVER PRIDE","2017-04-21","2017-08-08","2017-08-08","GS009","Ethanol","1105.0","MT","arriveddate","Arrived","1","Load","BE","ANR ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9323986&startdate=2017-04-10&enddate=2017-05-02"
"ARRIVAL: no arrival match","PLUTO","2017-06-26","2017-08-08","2017-08-08","GS009","Ethanol Blend","1104.0","MT","arriveddate","Arrived","1","Discharge","NL","RTM ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=8404020&startdate=2017-06-15&enddate=2017-07-07"
"ARRIVAL: no arrival match","PLUTO","2017-02-25","2017-08-08","2017-08-08","GS011","Gasoline + Blending Components, C9","1100.0","MT","arriveddate","Arrived","1","Discharge","BE","ANR ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=8404020&startdate=2017-02-14&enddate=2017-03-08"
"ARRIVAL: no arrival match","RIVA","2017-06-20","2017-08-08","2017-08-08","GS009","Ethanol","1055.0","MT","arriveddate","Arrived","1","Load","BE","GNE ","","","","gs101","","manual modification","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9576208&startdate=2017-06-09&enddate=2017-07-01"
"ARRIVAL: no arrival match","ADMIRAL","2017-05-30","2017-08-08","2017-08-08","MD003","Diesel","1051.0","MT","arriveddate","Arrived","1","Load","BE","ANR ","","","","gs101","","manual modification","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9234616&startdate=2017-05-19&enddate=2017-06-10"
"ARRIVAL: no arrival match","ENJOY","2017-04-02","2017-08-08","2017-08-08","GS010","MTBE","1047.0","MT","arriveddate","Arrived","1","Load","NL","AMS ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9471329&startdate=2017-03-22&enddate=2017-04-13"
"ARRIVAL: no arrival match","EVIAPETROL III","2017-04-24","2017-08-08","2017-08-08","BF005","FATTY ACID METHYL ESTER (FAME)","1043.0","MT","arriveddate","Arrived","1","Discharge","GR","ASS ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9505754&startdate=2017-04-13&enddate=2017-05-05"
"ARRIVAL: no arrival match","FELLOWSHIP","2017-01-29","2017-08-08","2017-08-08","GS009","Ethanol Blend","1000.0","MT","arriveddate","Arrived","1","Load","NL","RTM ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9437971&startdate=2017-01-18&enddate=2017-02-09"
"ARRIVAL: no arrival match","ADMIRAL","2017-03-06","2017-08-08","2017-08-08","BF002","Biodiesel","999.0","MT","arriveddate","Arrived","1","Load","BE","GNE ","","","","gs101","","manual modification","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9234616&startdate=2017-02-23&enddate=2017-03-17"
"ARRIVAL: no arrival match","EVIAPETROL III","2017-04-23","2017-08-08","2017-08-08","BF005","FATTY ACID METHYL ESTER (FAME)","969.0","MT","arriveddate","Arrived","1","Discharge","GR","SKG ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9505754&startdate=2017-04-12&enddate=2017-05-04"
"ARRIVAL: no arrival match","AEGIR","2017-03-09","2017-08-08","2017-08-08","GS009","Bioethanol","950.0","MT","arriveddate","Arrived","1","Discharge","NL","RTM ","","","","gs101","","manual modification","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9308261&startdate=2017-02-26&enddate=2017-03-20"
"ARRIVAL: no arrival match","LIBERTY","2017-04-01","2017-08-08","2017-08-08","GS010","MTBE","949.0","MT","arriveddate","Arrived","1","Discharge","NL","RTM ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=5427007&startdate=2017-03-21&enddate=2017-04-12"
"ARRIVAL: no arrival match","EVIAPETROL II","2016-12-24","2017-08-08","2017-08-08","BF005","FATTY ACID METHYL ESTER (FAME)","881.0","MT","arriveddate","Arrived","1","Discharge","GR","SKG ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9344356&startdate=2016-12-13&enddate=2017-01-04"
"ARRIVAL: no arrival match","PAMELA","2017-02-03","2017-08-08","2017-08-08","GS011","Naphtha","836.0","MT","arriveddate","Arrived","1","Load","NL","RTM ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=8912728&startdate=2017-01-23&enddate=2017-02-14"
"ARRIVAL: no arrival match","SOPHIA","2016-12-27","2017-08-08","2017-08-08","GS011","Naphtha","543.0","MT","arriveddate","Arrived","1","Load","NL","RTM ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=6918091&startdate=2016-12-16&enddate=2017-01-07"
"ARRIVAL: no arrival match","OVERSEAS AMBERMAR","2017-01-04","2017-08-08","2017-08-08","BF005","FATTY ACID METHYL ESTER (FAME)","1.0","MT","bldate","Bill date","14","Load","BE","ANR ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9231626&startdate=2016-12-24&enddate=2017-01-15"
"ARRIVAL: no arrival match","THUN GENIUS","2017-05-24","2017-08-08","2017-08-08","BF005","B100 - FATTY ACID METHYL ESTER (FAME)","0.0","MT","bertheddate","Berthed","2","Load","GB","MLF ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9263605&startdate=2017-05-13&enddate=2017-06-04"
"ARRIVAL: no arrival match","ECO NEMESIS","2017-05-08","2017-08-08","2017-08-08","MD004","ultra low","0.0","MT","arriveddate","Arrived","1","Load","NL","RTM ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9719525&startdate=2017-04-27&enddate=2017-05-19"
